,var1(t-5),var2(t-5),var3(t-5),var4(t-5),var5(t-5),var6(t-5),var7(t-5),var1(t-4),var2(t-4),var3(t-4),var4(t-4),var5(t-4),var6(t-4),var7(t-4),var1(t-3),var2(t-3),var3(t-3),var4(t-3),var5(t-3),var6(t-3),var7(t-3),var1(t-2),var2(t-2),var3(t-2),var4(t-2),var5(t-2),var6(t-2),var7(t-2),var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var1(t),var2(t),var3(t),var4(t),var5(t),var6(t),var7(t)
0,0.3508772,0.012531328,0.3899371,0.22272952,1.0,0.15901762,0.0,0.5906433,0.012531328,0.5786163,0.03648044,1.0,0.14920172,0.0,0.40350878,0.030075185,0.3962264,0.14926797,0.6666666,0.20771652,0.0,0.32163742,0.047619045,0.33962262,0.1568099,1.0,0.2193754,0.0,0.3157895,0.082706764,0.35849056,0.030303273,1.0,0.20415074,0.0,0.0,0.09022556,0.2515723,0.064104825,1.0,0.11729001,0.0
1,0.5906433,0.012531328,0.5786163,0.03648044,1.0,0.14920172,0.0,0.40350878,0.030075185,0.3962264,0.14926797,0.6666666,0.20771652,0.0,0.32163742,0.047619045,0.33962262,0.1568099,1.0,0.2193754,0.0,0.3157895,0.082706764,0.35849056,0.030303273,1.0,0.20415074,0.0,0.24561402,0.09022556,0.2515723,0.064104825,1.0,0.11729001,0.0,0.0,0.037593983,0.22012578,0.1482197,1.0,0.1070935,0.0
2,0.40350878,0.030075185,0.3962264,0.14926797,0.6666666,0.20771652,0.0,0.32163742,0.047619045,0.33962262,0.1568099,1.0,0.2193754,0.0,0.3157895,0.082706764,0.35849056,0.030303273,1.0,0.20415074,0.0,0.24561402,0.09022556,0.2515723,0.064104825,1.0,0.11729001,0.0,0.29239765,0.037593983,0.22012578,0.1482197,1.0,0.1070935,0.0,0.0,0.012531328,0.2389937,0.21885642,1.0,0.09831928,0.0
3,0.32163742,0.047619045,0.33962262,0.1568099,1.0,0.2193754,0.0,0.3157895,0.082706764,0.35849056,0.030303273,1.0,0.20415074,0.0,0.24561402,0.09022556,0.2515723,0.064104825,1.0,0.11729001,0.0,0.29239765,0.037593983,0.22012578,0.1482197,1.0,0.1070935,0.0,0.26900586,0.012531328,0.2389937,0.21885642,1.0,0.09831928,0.0,0.0,0.012531328,0.29559746,0.11515612,1.0,0.08357539,0.0
4,0.3157895,0.082706764,0.35849056,0.030303273,1.0,0.20415074,0.0,0.24561402,0.09022556,0.2515723,0.064104825,1.0,0.11729001,0.0,0.29239765,0.037593983,0.22012578,0.1482197,1.0,0.1070935,0.0,0.26900586,0.012531328,0.2389937,0.21885642,1.0,0.09831928,0.0,0.32748538,0.012531328,0.29559746,0.11515612,1.0,0.08357539,0.0,0.0,0.06265664,0.408805,0.040844027,1.0,0.17496344,0.0
5,0.24561402,0.09022556,0.2515723,0.064104825,1.0,0.11729001,0.0,0.29239765,0.037593983,0.22012578,0.1482197,1.0,0.1070935,0.0,0.26900586,0.012531328,0.2389937,0.21885642,1.0,0.09831928,0.0,0.32748538,0.012531328,0.29559746,0.11515612,1.0,0.08357539,0.0,0.39766082,0.06265664,0.408805,0.040844027,1.0,0.17496344,0.0,0.0,0.08521303,0.36477986,0.11518089,1.0,0.18057254,0.0
6,0.29239765,0.037593983,0.22012578,0.1482197,1.0,0.1070935,0.0,0.26900586,0.012531328,0.2389937,0.21885642,1.0,0.09831928,0.0,0.32748538,0.012531328,0.29559746,0.11515612,1.0,0.08357539,0.0,0.39766082,0.06265664,0.408805,0.040844027,1.0,0.17496344,0.0,0.42105263,0.08521303,0.36477986,0.11518089,1.0,0.18057254,0.0,0.0,0.07769424,0.3962264,0.056497715,1.0,0.1509846,0.0
7,0.26900586,0.012531328,0.2389937,0.21885642,1.0,0.09831928,0.0,0.32748538,0.012531328,0.29559746,0.11515612,1.0,0.08357539,0.0,0.39766082,0.06265664,0.408805,0.040844027,1.0,0.17496344,0.0,0.42105263,0.08521303,0.36477986,0.11518089,1.0,0.18057254,0.0,0.3859649,0.07769424,0.3962264,0.056497715,1.0,0.1509846,0.0,0.0,0.100250624,0.49056602,0.07015965,1.0,0.10390833,0.0
8,0.32748538,0.012531328,0.29559746,0.11515612,1.0,0.08357539,0.0,0.39766082,0.06265664,0.408805,0.040844027,1.0,0.17496344,0.0,0.42105263,0.08521303,0.36477986,0.11518089,1.0,0.18057254,0.0,0.3859649,0.07769424,0.3962264,0.056497715,1.0,0.1509846,0.0,0.49122807,0.100250624,0.49056602,0.07015965,1.0,0.10390833,0.0,0.0,0.11528822,0.52201253,0.10436217,1.0,0.23375869,0.0
9,0.39766082,0.06265664,0.408805,0.040844027,1.0,0.17496344,0.0,0.42105263,0.08521303,0.36477986,0.11518089,1.0,0.18057254,0.0,0.3859649,0.07769424,0.3962264,0.056497715,1.0,0.1509846,0.0,0.49122807,0.100250624,0.49056602,0.07015965,1.0,0.10390833,0.0,0.48538014,0.11528822,0.52201253,0.10436217,1.0,0.23375869,0.0,0.0,0.1378446,0.5471698,0.044100687,1.0,0.24605861,0.0
