,var1(t-5),var2(t-5),var3(t-5),var4(t-5),var5(t-5),var6(t-5),var7(t-5),var1(t-4),var2(t-4),var3(t-4),var4(t-4),var5(t-4),var6(t-4),var7(t-4),var1(t-3),var2(t-3),var3(t-3),var4(t-3),var5(t-3),var6(t-3),var7(t-3),var1(t-2),var2(t-2),var3(t-2),var4(t-2),var5(t-2),var6(t-2),var7(t-2),var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var1(t),var2(t),var3(t),var4(t),var5(t),var6(t),var7(t)
0,0.044444446,0.0,0.037974685,0.043798443,0.0,0.4784736,0.0,0.044444446,0.0,0.025316456,0.04019217,0.6666666,0.46817854,0.0,0.08888889,0.0,0.050632913,0.08689451,0.33333334,0.40704358,0.0,0.044444446,0.0,0.037974685,0.07874324,0.0,0.39320788,0.0,0.011111111,0.0,0.050632913,0.29941988,0.0,0.47694844,0.0,0.0,0.0,0.050632913,0.115270436,0.33333334,0.4379288,0.0
1,0.044444446,0.0,0.025316456,0.04019217,0.6666666,0.46817854,0.0,0.08888889,0.0,0.050632913,0.08689451,0.33333334,0.40704358,0.0,0.044444446,0.0,0.037974685,0.07874324,0.0,0.39320788,0.0,0.011111111,0.0,0.050632913,0.29941988,0.0,0.47694844,0.0,0.044444446,0.0,0.050632913,0.115270436,0.33333334,0.4379288,0.0,0.0,0.024752473,0.15189874,0.10181761,0.0,0.3066893,0.0
2,0.08888889,0.0,0.050632913,0.08689451,0.33333334,0.40704358,0.0,0.044444446,0.0,0.037974685,0.07874324,0.0,0.39320788,0.0,0.011111111,0.0,0.050632913,0.29941988,0.0,0.47694844,0.0,0.044444446,0.0,0.050632913,0.115270436,0.33333334,0.4379288,0.0,0.17777778,0.024752473,0.15189874,0.10181761,0.0,0.3066893,0.0,0.0,0.0,0.050632913,0.041284464,0.0,0.40372086,0.0
3,0.044444446,0.0,0.037974685,0.07874324,0.0,0.39320788,0.0,0.011111111,0.0,0.050632913,0.29941988,0.0,0.47694844,0.0,0.044444446,0.0,0.050632913,0.115270436,0.33333334,0.4379288,0.0,0.17777778,0.024752473,0.15189874,0.10181761,0.0,0.3066893,0.0,0.033333335,0.0,0.050632913,0.041284464,0.0,0.40372086,0.0,0.0,0.004950495,0.037974685,0.048021287,0.0,0.4097853,0.0
4,0.011111111,0.0,0.050632913,0.29941988,0.0,0.47694844,0.0,0.044444446,0.0,0.050632913,0.115270436,0.33333334,0.4379288,0.0,0.17777778,0.024752473,0.15189874,0.10181761,0.0,0.3066893,0.0,0.033333335,0.0,0.050632913,0.041284464,0.0,0.40372086,0.0,0.07777778,0.004950495,0.037974685,0.048021287,0.0,0.4097853,0.0,0.0,0.0,0.025316456,0.11915374,0.0,0.3536254,0.0
5,0.044444446,0.0,0.050632913,0.115270436,0.33333334,0.4379288,0.0,0.17777778,0.024752473,0.15189874,0.10181761,0.0,0.3066893,0.0,0.033333335,0.0,0.050632913,0.041284464,0.0,0.40372086,0.0,0.07777778,0.004950495,0.037974685,0.048021287,0.0,0.4097853,0.0,0.06666667,0.0,0.025316456,0.11915374,0.0,0.3536254,0.0,0.0,0.0,0.0,0.09626583,0.33333334,0.4036119,0.0
6,0.17777778,0.024752473,0.15189874,0.10181761,0.0,0.3066893,0.0,0.033333335,0.0,0.050632913,0.041284464,0.0,0.40372086,0.0,0.07777778,0.004950495,0.037974685,0.048021287,0.0,0.4097853,0.0,0.06666667,0.0,0.025316456,0.11915374,0.0,0.3536254,0.0,0.033333335,0.0,0.0,0.09626583,0.33333334,0.4036119,0.0,0.0,0.0,0.050632913,0.100308135,0.33333334,0.35253596,0.0
7,0.033333335,0.0,0.050632913,0.041284464,0.0,0.40372086,0.0,0.07777778,0.004950495,0.037974685,0.048021287,0.0,0.4097853,0.0,0.06666667,0.0,0.025316456,0.11915374,0.0,0.3536254,0.0,0.033333335,0.0,0.0,0.09626583,0.33333334,0.4036119,0.0,0.055555556,0.0,0.050632913,0.100308135,0.33333334,0.35253596,0.0,0.0,0.024752473,0.12658228,0.112042606,0.33333334,0.34461948,0.0
8,0.07777778,0.004950495,0.037974685,0.048021287,0.0,0.4097853,0.0,0.06666667,0.0,0.025316456,0.11915374,0.0,0.3536254,0.0,0.033333335,0.0,0.0,0.09626583,0.33333334,0.4036119,0.0,0.055555556,0.0,0.050632913,0.100308135,0.33333334,0.35253596,0.0,0.12222222,0.024752473,0.12658228,0.112042606,0.33333334,0.34461948,0.0,0.0,0.0,0.050632913,0.07370543,0.33333334,0.33210924,0.0
9,0.06666667,0.0,0.025316456,0.11915374,0.0,0.3536254,0.0,0.033333335,0.0,0.0,0.09626583,0.33333334,0.4036119,0.0,0.055555556,0.0,0.050632913,0.100308135,0.33333334,0.35253596,0.0,0.12222222,0.024752473,0.12658228,0.112042606,0.33333334,0.34461948,0.0,0.06666667,0.0,0.050632913,0.07370543,0.33333334,0.33210924,0.0,0.0,0.004950495,0.050632913,0.17516343,0.0,0.37842798,0.0
10,0.033333335,0.0,0.0,0.09626583,0.33333334,0.4036119,0.0,0.055555556,0.0,0.050632913,0.100308135,0.33333334,0.35253596,0.0,0.12222222,0.024752473,0.12658228,0.112042606,0.33333334,0.34461948,0.0,0.06666667,0.0,0.050632913,0.07370543,0.33333334,0.33210924,0.0,0.06666667,0.004950495,0.050632913,0.17516343,0.0,0.37842798,0.0,0.0,0.0,0.06329114,0.09220104,0.33333334,0.38224098,0.0
11,0.055555556,0.0,0.050632913,0.100308135,0.33333334,0.35253596,0.0,0.12222222,0.024752473,0.12658228,0.112042606,0.33333334,0.34461948,0.0,0.06666667,0.0,0.050632913,0.07370543,0.33333334,0.33210924,0.0,0.06666667,0.004950495,0.050632913,0.17516343,0.0,0.37842798,0.0,0.055555556,0.0,0.06329114,0.09220104,0.33333334,0.38224098,0.0,0.0,0.0,0.06329114,0.07353869,0.33333334,0.37092912,0.0
12,0.12222222,0.024752473,0.12658228,0.112042606,0.33333334,0.34461948,0.0,0.06666667,0.0,0.050632913,0.07370543,0.33333334,0.33210924,0.0,0.06666667,0.004950495,0.050632913,0.17516343,0.0,0.37842798,0.0,0.055555556,0.0,0.06329114,0.09220104,0.33333334,0.38224098,0.0,0.07777778,0.0,0.06329114,0.07353869,0.33333334,0.37092912,0.0,0.0,0.0,0.037974685,0.22302842,0.0,0.33666667,0.034296025
13,0.06666667,0.0,0.050632913,0.07370543,0.33333334,0.33210924,0.0,0.06666667,0.004950495,0.050632913,0.17516343,0.0,0.37842798,0.0,0.055555556,0.0,0.06329114,0.09220104,0.33333334,0.38224098,0.0,0.07777778,0.0,0.06329114,0.07353869,0.33333334,0.37092912,0.0,0.044444446,0.0,0.037974685,0.22302842,0.0,0.33666667,0.034296025,0.0,0.0,0.025316456,0.026042968,0.6666666,0.2649098,0.0
14,0.06666667,0.004950495,0.050632913,0.17516343,0.0,0.37842798,0.0,0.055555556,0.0,0.06329114,0.09220104,0.33333334,0.38224098,0.0,0.07777778,0.0,0.06329114,0.07353869,0.33333334,0.37092912,0.0,0.044444446,0.0,0.037974685,0.22302842,0.0,0.33666667,0.034296025,0.011111111,0.0,0.025316456,0.026042968,0.6666666,0.2649098,0.0,0.0,0.0,0.050632913,0.04008124,1.0,0.2327899,0.0
