,var1(t-5),var2(t-5),var3(t-5),var4(t-5),var5(t-5),var6(t-5),var7(t-5),var1(t-4),var2(t-4),var3(t-4),var4(t-4),var5(t-4),var6(t-4),var7(t-4),var1(t-3),var2(t-3),var3(t-3),var4(t-3),var5(t-3),var6(t-3),var7(t-3),var1(t-2),var2(t-2),var3(t-2),var4(t-2),var5(t-2),var6(t-2),var7(t-2),var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var1(t),var2(t),var3(t),var4(t),var5(t),var6(t),var7(t)
0,0.06666667,0.0,0.088607594,0.16300453,0.33333334,0.28636515,0.0,0.06666667,0.0,0.06329114,0.13013907,0.33333334,0.28241324,0.035198554,0.12222222,0.0,0.050632913,0.07453106,0.33333334,0.3531832,0.0,0.06666667,0.0,0.088607594,0.38102418,0.33333334,0.35099936,0.16155232,0.033333335,0.0,0.101265825,0.24669404,0.33333334,0.3582947,0.11281588,0.0,0.0,0.025316456,0.07577648,0.0,0.40638992,0.0
1,0.06666667,0.0,0.06329114,0.13013907,0.33333334,0.28241324,0.035198554,0.12222222,0.0,0.050632913,0.07453106,0.33333334,0.3531832,0.0,0.06666667,0.0,0.088607594,0.38102418,0.33333334,0.35099936,0.16155232,0.033333335,0.0,0.101265825,0.24669404,0.33333334,0.3582947,0.11281588,0.022222223,0.0,0.025316456,0.07577648,0.0,0.40638992,0.0,0.0,0.0,0.088607594,0.034262598,0.0,0.39782485,0.0
2,0.12222222,0.0,0.050632913,0.07453106,0.33333334,0.3531832,0.0,0.06666667,0.0,0.088607594,0.38102418,0.33333334,0.35099936,0.16155232,0.033333335,0.0,0.101265825,0.24669404,0.33333334,0.3582947,0.11281588,0.022222223,0.0,0.025316456,0.07577648,0.0,0.40638992,0.0,0.07777778,0.0,0.088607594,0.034262598,0.0,0.39782485,0.0,0.0,0.0,0.050632913,0.20113954,0.33333334,0.4083146,0.0
3,0.06666667,0.0,0.088607594,0.38102418,0.33333334,0.35099936,0.16155232,0.033333335,0.0,0.101265825,0.24669404,0.33333334,0.3582947,0.11281588,0.022222223,0.0,0.025316456,0.07577648,0.0,0.40638992,0.0,0.07777778,0.0,0.088607594,0.034262598,0.0,0.39782485,0.0,0.044444446,0.0,0.050632913,0.20113954,0.33333334,0.4083146,0.0,0.0,0.0,0.088607594,0.06351591,0.0,0.39253604,0.0
4,0.033333335,0.0,0.101265825,0.24669404,0.33333334,0.3582947,0.11281588,0.022222223,0.0,0.025316456,0.07577648,0.0,0.40638992,0.0,0.07777778,0.0,0.088607594,0.034262598,0.0,0.39782485,0.0,0.044444446,0.0,0.050632913,0.20113954,0.33333334,0.4083146,0.0,0.044444446,0.0,0.088607594,0.06351591,0.0,0.39253604,0.0,0.0,0.0,0.06329114,0.14133383,0.6666666,0.40933138,0.0
5,0.022222223,0.0,0.025316456,0.07577648,0.0,0.40638992,0.0,0.07777778,0.0,0.088607594,0.034262598,0.0,0.39782485,0.0,0.044444446,0.0,0.050632913,0.20113954,0.33333334,0.4083146,0.0,0.044444446,0.0,0.088607594,0.06351591,0.0,0.39253604,0.0,0.13333334,0.0,0.06329114,0.14133383,0.6666666,0.40933138,0.0,0.0,0.0,0.101265825,0.06856598,0.0,0.38776076,0.0
6,0.07777778,0.0,0.088607594,0.034262598,0.0,0.39782485,0.0,0.044444446,0.0,0.050632913,0.20113954,0.33333334,0.4083146,0.0,0.044444446,0.0,0.088607594,0.06351591,0.0,0.39253604,0.0,0.13333334,0.0,0.06329114,0.14133383,0.6666666,0.40933138,0.0,0.12222222,0.0,0.101265825,0.06856598,0.0,0.38776076,0.0,0.0,0.0,0.037974685,0.024002515,0.0,0.42579985,0.0
7,0.044444446,0.0,0.050632913,0.20113954,0.33333334,0.4083146,0.0,0.044444446,0.0,0.088607594,0.06351591,0.0,0.39253604,0.0,0.13333334,0.0,0.06329114,0.14133383,0.6666666,0.40933138,0.0,0.12222222,0.0,0.101265825,0.06856598,0.0,0.38776076,0.0,0.06666667,0.0,0.037974685,0.024002515,0.0,0.42579985,0.0,0.0,0.0,0.15189874,0.12281595,0.6666666,0.3359767,0.008122743
8,0.044444446,0.0,0.088607594,0.06351591,0.0,0.39253604,0.0,0.13333334,0.0,0.06329114,0.14133383,0.6666666,0.40933138,0.0,0.12222222,0.0,0.101265825,0.06856598,0.0,0.38776076,0.0,0.06666667,0.0,0.037974685,0.024002515,0.0,0.42579985,0.0,0.17777778,0.0,0.15189874,0.12281595,0.6666666,0.3359767,0.008122743,0.0,0.0,0.012658228,0.043569617,1.0,0.29410642,0.1669675
9,0.13333334,0.0,0.06329114,0.14133383,0.6666666,0.40933138,0.0,0.12222222,0.0,0.101265825,0.06856598,0.0,0.38776076,0.0,0.06666667,0.0,0.037974685,0.024002515,0.0,0.42579985,0.0,0.17777778,0.0,0.15189874,0.12281595,0.6666666,0.3359767,0.008122743,0.06666667,0.0,0.012658228,0.043569617,1.0,0.29410642,0.1669675,0.0,0.0,0.012658228,0.13949507,0.33333334,0.3363083,0.0
