,var1(t-5),var2(t-5),var3(t-5),var4(t-5),var5(t-5),var6(t-5),var7(t-5),var1(t-4),var2(t-4),var3(t-4),var4(t-4),var5(t-4),var6(t-4),var7(t-4),var1(t-3),var2(t-3),var3(t-3),var4(t-3),var5(t-3),var6(t-3),var7(t-3),var1(t-2),var2(t-2),var3(t-2),var4(t-2),var5(t-2),var6(t-2),var7(t-2),var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var1(t),var2(t),var3(t),var4(t),var5(t),var6(t),var7(t)
0,0.3271605,0.032745007,0.45081967,0.17896664,0.6666666,0.5621632,0.003846154,0.3271605,0.04505341,0.44262293,0.044953305,1.0,0.573684,0.03846154,0.24691357,0.023687877,0.3114754,0.25051096,0.6666666,0.5783328,0.026923077,0.20987654,0.019972133,0.26229507,0.111900784,0.33333334,0.59746677,0.11153847,0.0925926,0.017882025,0.122950815,0.13361654,0.6666666,0.6070338,0.27307692,0.0,0.03158384,0.1967213,0.20775433,1.0,0.6380929,0.0
1,0.3271605,0.04505341,0.44262293,0.044953305,1.0,0.573684,0.03846154,0.24691357,0.023687877,0.3114754,0.25051096,0.6666666,0.5783328,0.026923077,0.20987654,0.019972133,0.26229507,0.111900784,0.33333334,0.59746677,0.11153847,0.0925926,0.017882025,0.122950815,0.13361654,0.6666666,0.6070338,0.27307692,0.1419753,0.03158384,0.1967213,0.20775433,1.0,0.6380929,0.0,0.0,0.033441707,0.41803277,0.12289483,0.6666666,0.61397326,0.003846154
2,0.24691357,0.023687877,0.3114754,0.25051096,0.6666666,0.5783328,0.026923077,0.20987654,0.019972133,0.26229507,0.111900784,0.33333334,0.59746677,0.11153847,0.0925926,0.017882025,0.122950815,0.13361654,0.6666666,0.6070338,0.27307692,0.1419753,0.03158384,0.1967213,0.20775433,1.0,0.6380929,0.0,0.308642,0.033441707,0.41803277,0.12289483,0.6666666,0.61397326,0.003846154,0.0,0.032745007,0.30327868,0.085628726,0.33333334,0.61956525,0.0
3,0.20987654,0.019972133,0.26229507,0.111900784,0.33333334,0.59746677,0.11153847,0.0925926,0.017882025,0.122950815,0.13361654,0.6666666,0.6070338,0.27307692,0.1419753,0.03158384,0.1967213,0.20775433,1.0,0.6380929,0.0,0.308642,0.033441707,0.41803277,0.12289483,0.6666666,0.61397326,0.003846154,0.22839506,0.032745007,0.30327868,0.085628726,0.33333334,0.61956525,0.0,0.0,0.03483511,0.45901638,0.03776617,1.0,0.64934427,0.0
4,0.0925926,0.017882025,0.122950815,0.13361654,0.6666666,0.6070338,0.27307692,0.1419753,0.03158384,0.1967213,0.20775433,1.0,0.6380929,0.0,0.308642,0.033441707,0.41803277,0.12289483,0.6666666,0.61397326,0.003846154,0.22839506,0.032745007,0.30327868,0.085628726,0.33333334,0.61956525,0.0,0.4814815,0.03483511,0.45901638,0.03776617,1.0,0.64934427,0.0,0.0,0.034370646,0.45901638,0.04574224,0.0,0.6219907,0.0
5,0.1419753,0.03158384,0.1967213,0.20775433,1.0,0.6380929,0.0,0.308642,0.033441707,0.41803277,0.12289483,0.6666666,0.61397326,0.003846154,0.22839506,0.032745007,0.30327868,0.085628726,0.33333334,0.61956525,0.0,0.4814815,0.03483511,0.45901638,0.03776617,1.0,0.64934427,0.0,0.37654322,0.034370646,0.45901638,0.04574224,0.0,0.6219907,0.0,0.0,0.028100325,0.40163934,0.073003516,0.0,0.619161,0.0
6,0.308642,0.033441707,0.41803277,0.12289483,0.6666666,0.61397326,0.003846154,0.22839506,0.032745007,0.30327868,0.085628726,0.33333334,0.61956525,0.0,0.4814815,0.03483511,0.45901638,0.03776617,1.0,0.64934427,0.0,0.37654322,0.034370646,0.45901638,0.04574224,0.0,0.6219907,0.0,0.3703704,0.028100325,0.40163934,0.073003516,0.0,0.619161,0.0,0.0,0.017185323,0.22131146,0.13703823,0.0,0.60817915,0.053846154
7,0.22839506,0.032745007,0.30327868,0.085628726,0.33333334,0.61956525,0.0,0.4814815,0.03483511,0.45901638,0.03776617,1.0,0.64934427,0.0,0.37654322,0.034370646,0.45901638,0.04574224,0.0,0.6219907,0.0,0.3703704,0.028100325,0.40163934,0.073003516,0.0,0.619161,0.0,0.15432099,0.017185323,0.22131146,0.13703823,0.0,0.60817915,0.053846154,0.0,0.020901067,0.2377049,0.2693026,1.0,0.58129716,0.0
8,0.4814815,0.03483511,0.45901638,0.03776617,1.0,0.64934427,0.0,0.37654322,0.034370646,0.45901638,0.04574224,0.0,0.6219907,0.0,0.3703704,0.028100325,0.40163934,0.073003516,0.0,0.619161,0.0,0.15432099,0.017185323,0.22131146,0.13703823,0.0,0.60817915,0.053846154,0.17901234,0.020901067,0.2377049,0.2693026,1.0,0.58129716,0.0,0.0,0.014862982,0.17213114,0.09839183,0.6666666,0.59093153,0.47692308
9,0.37654322,0.034370646,0.45901638,0.04574224,0.0,0.6219907,0.0,0.3703704,0.028100325,0.40163934,0.073003516,0.0,0.619161,0.0,0.15432099,0.017185323,0.22131146,0.13703823,0.0,0.60817915,0.053846154,0.17901234,0.020901067,0.2377049,0.2693026,1.0,0.58129716,0.0,0.13580246,0.014862982,0.17213114,0.09839183,0.6666666,0.59093153,0.47692308,0.0,0.020204365,0.13934425,0.08626734,0.6666666,0.6250899,0.3269231
10,0.3703704,0.028100325,0.40163934,0.073003516,0.0,0.619161,0.0,0.15432099,0.017185323,0.22131146,0.13703823,0.0,0.60817915,0.053846154,0.17901234,0.020901067,0.2377049,0.2693026,1.0,0.58129716,0.0,0.13580246,0.014862982,0.17213114,0.09839183,0.6666666,0.59093153,0.47692308,0.14814815,0.020204365,0.13934425,0.08626734,0.6666666,0.6250899,0.3269231,0.0,0.023687877,0.17213114,0.16118357,0.6666666,0.6312208,0.015384616
11,0.15432099,0.017185323,0.22131146,0.13703823,0.0,0.60817915,0.053846154,0.17901234,0.020901067,0.2377049,0.2693026,1.0,0.58129716,0.0,0.13580246,0.014862982,0.17213114,0.09839183,0.6666666,0.59093153,0.47692308,0.14814815,0.020204365,0.13934425,0.08626734,0.6666666,0.6250899,0.3269231,0.17901234,0.023687877,0.17213114,0.16118357,0.6666666,0.6312208,0.015384616,0.0,0.029493729,0.26229507,0.29836994,1.0,0.64381963,0.0
12,0.17901234,0.020901067,0.2377049,0.2693026,1.0,0.58129716,0.0,0.13580246,0.014862982,0.17213114,0.09839183,0.6666666,0.59093153,0.47692308,0.14814815,0.020204365,0.13934425,0.08626734,0.6666666,0.6250899,0.3269231,0.17901234,0.023687877,0.17213114,0.16118357,0.6666666,0.6312208,0.015384616,0.20987654,0.029493729,0.26229507,0.29836994,1.0,0.64381963,0.0,0.0,0.06595448,0.30327868,0.03143967,1.0,0.63115346,0.003846154
13,0.13580246,0.014862982,0.17213114,0.09839183,0.6666666,0.59093153,0.47692308,0.14814815,0.020204365,0.13934425,0.08626734,0.6666666,0.6250899,0.3269231,0.17901234,0.023687877,0.17213114,0.16118357,0.6666666,0.6312208,0.015384616,0.20987654,0.029493729,0.26229507,0.29836994,1.0,0.64381963,0.0,0.24074073,0.06595448,0.30327868,0.03143967,1.0,0.63115346,0.003846154,0.0,0.06572224,0.25409836,0.07401905,0.6666666,0.65170234,0.061538465
14,0.14814815,0.020204365,0.13934425,0.08626734,0.6666666,0.6250899,0.3269231,0.17901234,0.023687877,0.17213114,0.16118357,0.6666666,0.6312208,0.015384616,0.20987654,0.029493729,0.26229507,0.29836994,1.0,0.64381963,0.0,0.24074073,0.06595448,0.30327868,0.03143967,1.0,0.63115346,0.003846154,0.21604939,0.06572224,0.25409836,0.07401905,0.6666666,0.65170234,0.061538465,0.0,0.056665115,0.13114753,0.0363102,0.33333334,0.62158644,0.034615386
15,0.17901234,0.023687877,0.17213114,0.16118357,0.6666666,0.6312208,0.015384616,0.20987654,0.029493729,0.26229507,0.29836994,1.0,0.64381963,0.0,0.24074073,0.06595448,0.30327868,0.03143967,1.0,0.63115346,0.003846154,0.21604939,0.06572224,0.25409836,0.07401905,0.6666666,0.65170234,0.061538465,0.10493827,0.056665115,0.13114753,0.0363102,0.33333334,0.62158644,0.034615386,0.0,0.029958196,0.30327868,0.059697345,0.0,0.5767832,0.0
16,0.20987654,0.029493729,0.26229507,0.29836994,1.0,0.64381963,0.0,0.24074073,0.06595448,0.30327868,0.03143967,1.0,0.63115346,0.003846154,0.21604939,0.06572224,0.25409836,0.07401905,0.6666666,0.65170234,0.061538465,0.10493827,0.056665115,0.13114753,0.0363102,0.33333334,0.62158644,0.034615386,0.25308645,0.029958196,0.30327868,0.059697345,0.0,0.5767832,0.0,0.0,0.019507661,0.26229507,0.20223522,0.0,0.5441745,0.015384616
17,0.24074073,0.06595448,0.30327868,0.03143967,1.0,0.63115346,0.003846154,0.21604939,0.06572224,0.25409836,0.07401905,0.6666666,0.65170234,0.061538465,0.10493827,0.056665115,0.13114753,0.0363102,0.33333334,0.62158644,0.034615386,0.25308645,0.029958196,0.30327868,0.059697345,0.0,0.5767832,0.0,0.19135801,0.019507661,0.26229507,0.20223522,0.0,0.5441745,0.015384616,0.0,0.016256386,0.14754097,0.47821635,0.0,0.57078695,0.23461539
18,0.21604939,0.06572224,0.25409836,0.07401905,0.6666666,0.65170234,0.061538465,0.10493827,0.056665115,0.13114753,0.0363102,0.33333334,0.62158644,0.034615386,0.25308645,0.029958196,0.30327868,0.059697345,0.0,0.5767832,0.0,0.19135801,0.019507661,0.26229507,0.20223522,0.0,0.5441745,0.015384616,0.10493827,0.016256386,0.14754097,0.47821635,0.0,0.57078695,0.23461539,0.0,0.01137947,0.1967213,0.23228544,0.6666666,0.5764463,0.22307694
19,0.10493827,0.056665115,0.13114753,0.0363102,0.33333334,0.62158644,0.034615386,0.25308645,0.029958196,0.30327868,0.059697345,0.0,0.5767832,0.0,0.19135801,0.019507661,0.26229507,0.20223522,0.0,0.5441745,0.015384616,0.10493827,0.016256386,0.14754097,0.47821635,0.0,0.57078695,0.23461539,0.15432099,0.01137947,0.1967213,0.23228544,0.6666666,0.5764463,0.22307694,0.0,0.012772875,0.18852457,0.13767824,0.6666666,0.5985448,0.1846154
20,0.25308645,0.029958196,0.30327868,0.059697345,0.0,0.5767832,0.0,0.19135801,0.019507661,0.26229507,0.20223522,0.0,0.5441745,0.015384616,0.10493827,0.016256386,0.14754097,0.47821635,0.0,0.57078695,0.23461539,0.15432099,0.01137947,0.1967213,0.23228544,0.6666666,0.5764463,0.22307694,0.17901234,0.012772875,0.18852457,0.13767824,0.6666666,0.5985448,0.1846154,0.0,0.01811426,0.10655738,0.07262615,1.0,0.62946916,0.24230771
21,0.19135801,0.019507661,0.26229507,0.20223522,0.0,0.5441745,0.015384616,0.10493827,0.016256386,0.14754097,0.47821635,0.0,0.57078695,0.23461539,0.15432099,0.01137947,0.1967213,0.23228544,0.6666666,0.5764463,0.22307694,0.17901234,0.012772875,0.18852457,0.13767824,0.6666666,0.5985448,0.1846154,0.117283955,0.01811426,0.10655738,0.07262615,1.0,0.62946916,0.24230771,0.0,0.013934045,0.114754096,0.6417957,0.0,0.6208453,0.13461539
22,0.10493827,0.016256386,0.14754097,0.47821635,0.0,0.57078695,0.23461539,0.15432099,0.01137947,0.1967213,0.23228544,0.6666666,0.5764463,0.22307694,0.17901234,0.012772875,0.18852457,0.13767824,0.6666666,0.5985448,0.1846154,0.117283955,0.01811426,0.10655738,0.07262615,1.0,0.62946916,0.24230771,0.06172839,0.013934045,0.114754096,0.6417957,0.0,0.6208453,0.13461539,0.0,0.013934045,0.14754097,0.29634112,0.0,0.6083139,0.16153847
23,0.15432099,0.01137947,0.1967213,0.23228544,0.6666666,0.5764463,0.22307694,0.17901234,0.012772875,0.18852457,0.13767824,0.6666666,0.5985448,0.1846154,0.117283955,0.01811426,0.10655738,0.07262615,1.0,0.62946916,0.24230771,0.06172839,0.013934045,0.114754096,0.6417957,0.0,0.6208453,0.13461539,0.12345679,0.013934045,0.14754097,0.29634112,0.0,0.6083139,0.16153847,0.0,0.015327449,0.18032785,0.30361015,0.33333334,0.6168703,0.026923077
24,0.17901234,0.012772875,0.18852457,0.13767824,0.6666666,0.5985448,0.1846154,0.117283955,0.01811426,0.10655738,0.07262615,1.0,0.62946916,0.24230771,0.06172839,0.013934045,0.114754096,0.6417957,0.0,0.6208453,0.13461539,0.12345679,0.013934045,0.14754097,0.29634112,0.0,0.6083139,0.16153847,0.16049382,0.015327449,0.18032785,0.30361015,0.33333334,0.6168703,0.026923077,0.0,0.013469578,0.13114753,0.16122797,1.0,0.6391709,0.11923077
25,0.117283955,0.01811426,0.10655738,0.07262615,1.0,0.62946916,0.24230771,0.06172839,0.013934045,0.114754096,0.6417957,0.0,0.6208453,0.13461539,0.12345679,0.013934045,0.14754097,0.29634112,0.0,0.6083139,0.16153847,0.16049382,0.015327449,0.18032785,0.30361015,0.33333334,0.6168703,0.026923077,0.10493827,0.013469578,0.13114753,0.16122797,1.0,0.6391709,0.11923077,0.0,0.020901067,0.2704918,0.25946343,0.0,0.61767876,0.08461539
26,0.06172839,0.013934045,0.114754096,0.6417957,0.0,0.6208453,0.13461539,0.12345679,0.013934045,0.14754097,0.29634112,0.0,0.6083139,0.16153847,0.16049382,0.015327449,0.18032785,0.30361015,0.33333334,0.6168703,0.026923077,0.10493827,0.013469578,0.13114753,0.16122797,1.0,0.6391709,0.11923077,0.2037037,0.020901067,0.2704918,0.25946343,0.0,0.61767876,0.08461539,0.0,0.01579192,0.20491801,0.23690522,1.0,0.6256962,0.20384617
