,var1(t-5),var2(t-5),var3(t-5),var4(t-5),var5(t-5),var6(t-5),var7(t-5),var1(t-4),var2(t-4),var3(t-4),var4(t-4),var5(t-4),var6(t-4),var7(t-4),var1(t-3),var2(t-3),var3(t-3),var4(t-3),var5(t-3),var6(t-3),var7(t-3),var1(t-2),var2(t-2),var3(t-2),var4(t-2),var5(t-2),var6(t-2),var7(t-2),var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var1(t),var2(t),var3(t),var4(t),var5(t),var6(t),var7(t)
0,0.21031748,0.032745007,0.45528454,0.17896664,0.6666666,0.5621632,0.0036764704,0.21031748,0.04505341,0.44715446,0.044953305,1.0,0.573684,0.036764704,0.15873016,0.023687877,0.31707317,0.25051096,0.6666666,0.5783328,0.025735293,0.13492064,0.019972133,0.26829267,0.111900784,0.33333334,0.59746677,0.106617644,0.059523813,0.017882025,0.1300813,0.13361654,0.6666666,0.6070338,0.2610294,0.0,0.03158384,0.20325202,0.20775433,1.0,0.6380929,0.0
1,0.21031748,0.04505341,0.44715446,0.044953305,1.0,0.573684,0.036764704,0.15873016,0.023687877,0.31707317,0.25051096,0.6666666,0.5783328,0.025735293,0.13492064,0.019972133,0.26829267,0.111900784,0.33333334,0.59746677,0.106617644,0.059523813,0.017882025,0.1300813,0.13361654,0.6666666,0.6070338,0.2610294,0.09126985,0.03158384,0.20325202,0.20775433,1.0,0.6380929,0.0,0.0,0.033441707,0.4227642,0.12289483,0.6666666,0.61397326,0.0036764704
2,0.15873016,0.023687877,0.31707317,0.25051096,0.6666666,0.5783328,0.025735293,0.13492064,0.019972133,0.26829267,0.111900784,0.33333334,0.59746677,0.106617644,0.059523813,0.017882025,0.1300813,0.13361654,0.6666666,0.6070338,0.2610294,0.09126985,0.03158384,0.20325202,0.20775433,1.0,0.6380929,0.0,0.19841272,0.033441707,0.4227642,0.12289483,0.6666666,0.61397326,0.0036764704,0.0,0.05968416,0.4308943,0.14187093,0.6666666,0.6396425,0.0
3,0.13492064,0.019972133,0.26829267,0.111900784,0.33333334,0.59746677,0.106617644,0.059523813,0.017882025,0.1300813,0.13361654,0.6666666,0.6070338,0.2610294,0.09126985,0.03158384,0.20325202,0.20775433,1.0,0.6380929,0.0,0.19841272,0.033441707,0.4227642,0.12289483,0.6666666,0.61397326,0.0036764704,0.18121696,0.05968416,0.4308943,0.14187093,0.6666666,0.6396425,0.0,0.0,0.0415699,0.36991867,0.02639103,0.0,0.6252246,0.0
4,0.059523813,0.017882025,0.1300813,0.13361654,0.6666666,0.6070338,0.2610294,0.09126985,0.03158384,0.20325202,0.20775433,1.0,0.6380929,0.0,0.19841272,0.033441707,0.4227642,0.12289483,0.6666666,0.61397326,0.0036764704,0.18121696,0.05968416,0.4308943,0.14187093,0.6666666,0.6396425,0.0,0.16402116,0.0415699,0.36991867,0.02639103,0.0,0.6252246,0.0,0.0,0.032745007,0.3089431,0.085628726,0.33333334,0.61956525,0.0
5,0.09126985,0.03158384,0.20325202,0.20775433,1.0,0.6380929,0.0,0.19841272,0.033441707,0.4227642,0.12289483,0.6666666,0.61397326,0.0036764704,0.18121696,0.05968416,0.4308943,0.14187093,0.6666666,0.6396425,0.0,0.16402116,0.0415699,0.36991867,0.02639103,0.0,0.6252246,0.0,0.1468254,0.032745007,0.3089431,0.085628726,0.33333334,0.61956525,0.0,0.0,0.03483511,0.4634146,0.03776617,1.0,0.64934427,0.0
6,0.19841272,0.033441707,0.4227642,0.12289483,0.6666666,0.61397326,0.0036764704,0.18121696,0.05968416,0.4308943,0.14187093,0.6666666,0.6396425,0.0,0.16402116,0.0415699,0.36991867,0.02639103,0.0,0.6252246,0.0,0.1468254,0.032745007,0.3089431,0.085628726,0.33333334,0.61956525,0.0,0.30952382,0.03483511,0.4634146,0.03776617,1.0,0.64934427,0.0,0.0,0.034370646,0.4634146,0.04574224,0.0,0.6219907,0.0
7,0.18121696,0.05968416,0.4308943,0.14187093,0.6666666,0.6396425,0.0,0.16402116,0.0415699,0.36991867,0.02639103,0.0,0.6252246,0.0,0.1468254,0.032745007,0.3089431,0.085628726,0.33333334,0.61956525,0.0,0.30952382,0.03483511,0.4634146,0.03776617,1.0,0.64934427,0.0,0.2420635,0.034370646,0.4634146,0.04574224,0.0,0.6219907,0.0,0.0,0.028100325,0.40650403,0.073003516,0.0,0.619161,0.0
8,0.16402116,0.0415699,0.36991867,0.02639103,0.0,0.6252246,0.0,0.1468254,0.032745007,0.3089431,0.085628726,0.33333334,0.61956525,0.0,0.30952382,0.03483511,0.4634146,0.03776617,1.0,0.64934427,0.0,0.2420635,0.034370646,0.4634146,0.04574224,0.0,0.6219907,0.0,0.23809524,0.028100325,0.40650403,0.073003516,0.0,0.619161,0.0,0.0,0.017185323,0.22764227,0.13703823,0.0,0.60817915,0.051470585
9,0.1468254,0.032745007,0.3089431,0.085628726,0.33333334,0.61956525,0.0,0.30952382,0.03483511,0.4634146,0.03776617,1.0,0.64934427,0.0,0.2420635,0.034370646,0.4634146,0.04574224,0.0,0.6219907,0.0,0.23809524,0.028100325,0.40650403,0.073003516,0.0,0.619161,0.0,0.09920636,0.017185323,0.22764227,0.13703823,0.0,0.60817915,0.051470585,0.0,0.020901067,0.24390243,0.2693026,1.0,0.58129716,0.0
