,0
0,0.29239765
1,0.2982456
2,0.18128654
3,0.099415205
4,0.21637428
5,0.19298247
6,0.12865497
7,0.30409357
8,0.374269
9,0.33333334
10,0.16959065
11,0.19298247
12,0.040935673
13,0.07017544
14,0.15789473
15,0.28654972
16,0.2631579
17,0.28654972
18,0.32163742
19,0.30409357
20,0.28654972
21,0.41520467
22,0.41520467
23,0.49122807
24,0.46783626
25,0.39181286
26,0.4385965
27,0.30409357
28,0.5964912
29,0.47953215
30,0.07017544
31,0.03508772
32,0.122807026
33,0.12865497
34,0.15204678
35,0.1754386
36,0.25730994
37,0.33333334
38,0.23976609
39,0.15204678
40,0.20467836
41,0.32163742
42,0.21052632
43,0.21052632
44,0.19298247
45,0.25146198
46,0.29239765
47,0.12865497
48,0.15204678
49,0.21052632
50,0.111111104
51,0.13450292
52,0.19298247
53,0.14619884
54,0.09356725
55,0.099415205
56,0.18128654
57,0.07602339
58,0.12865497
59,0.099415205
60,0.1754386
61,0.23976609
62,0.23976609
63,0.14035088
64,0.122807026
65,0.07602339
66,0.058479533
67,0.13450292
68,0.09356725
69,0.09356725
70,0.058479533
71,0.099415205
72,0.0877193
73,0.099415205
74,0.13450292
75,0.21637428
76,0.1754386
77,0.13450292
78,0.064327486
79,0.046783626
80,0.07602339
81,0.064327486
82,0.0877193
83,0.040935673
84,0.0877193
85,0.10526316
86,0.14619884
87,0.15789473
88,0.1754386
89,0.122807026
90,0.09356725
91,0.09356725
92,0.13450292
93,0.046783626
94,0.07017544
95,0.10526316
96,0.10526316
97,0.07017544
98,0.09356725
99,0.09356725
100,0.116959065
101,0.16959065
102,0.111111104
103,0.2748538
104,0.24561402
105,0.21637428
106,0.18128654
107,0.22807017
108,0.099415205
109,0.058479533
110,0.07017544
111,0.13450292
112,0.09356725
113,0.12865497
114,0.12865497
115,0.14035088
116,0.21052632
117,0.14619884
118,0.10526316
119,0.0877193
120,0.14619884
121,0.15204678
122,0.16959065
123,0.19298247
124,0.023391813
125,0.064327486
126,0.09356725
127,0.0877193
128,0.14619884
129,0.15789473
130,0.15204678
131,0.111111104
132,0.040935673
133,0.029239766
134,0.081871346
135,0.16374269
136,0.10526316
137,0.07602339
138,0.111111104
139,0.122807026
140,0.14619884
141,0.14035088
142,0.16374269
143,0.28070176
144,0.07017544
145,0.12865497
146,0.122807026
147,0.099415205
148,0.15204678
149,0.064327486
150,0.05263158
151,0.099415205
152,0.099415205
153,0.09356725
154,0.12865497
155,0.14035088
156,0.14035088
157,0.099415205
158,0.10526316
159,0.058479533
160,0.081871346
161,0.116959065
162,0.122807026
163,0.1754386
164,0.14619884
165,0.15204678
166,0.111111104
167,0.111111104
168,0.058479533
169,0.029239766
170,0.0058479533
171,0.023391813
172,0.07017544
173,0.07602339
174,0.122807026
175,0.10526316
176,0.081871346
177,0.07602339
178,0.1754386
179,0.1871345
180,0.12865497
181,0.16374269
182,0.1754386
183,0.0877193
184,0.01754386
185,0.046783626
186,0.05263158
187,0.14035088
188,0.21637428
189,0.16374269
190,0.111111104
191,0.18128654
192,0.23976609
193,0.07017544
194,0.01754386
195,0.058479533
196,0.111111104
197,0.10526316
198,0.122807026
199,0.19883041
200,0.10526316
201,0.19883041
202,0.2748538
203,0.30994153
204,0.25146198
205,0.14035088
206,0.15789473
207,0.1754386
208,0.23976609
209,0.47368422
210,0.2982456
211,0.3157895
212,0.29239765
213,0.22807017
214,0.1871345
215,0.25146198
216,0.24561402
217,0.1871345
218,0.23391813
219,0.26900586
220,0.19883041
221,0.3157895
222,0.39181286
223,0.28654972
224,0.22222222
225,0.15789473
226,0.12865497
