,var1(t-5),var2(t-5),var3(t-5),var4(t-5),var5(t-5),var6(t-5),var7(t-5),var1(t-4),var2(t-4),var3(t-4),var4(t-4),var5(t-4),var6(t-4),var7(t-4),var1(t-3),var2(t-3),var3(t-3),var4(t-3),var5(t-3),var6(t-3),var7(t-3),var1(t-2),var2(t-2),var3(t-2),var4(t-2),var5(t-2),var6(t-2),var7(t-2),var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var1(t),var2(t),var3(t),var4(t),var5(t),var6(t),var7(t)
0,0.033333335,0.0,0.037974685,0.34013125,0.0,0.49192804,0.0,0.17777778,0.01980198,0.18987343,0.18158668,0.0,0.36121505,0.0,0.06666667,0.0,0.037974685,0.3448004,1.0,0.3364488,0.0,0.18888889,0.00990099,0.18987343,0.8220293,0.0,0.23204546,0.0,0.18888889,0.004950495,0.18987343,0.28892314,0.0,0.26095155,0.0,0.0,0.0,0.025316456,0.36594102,0.0,0.40018684,0.0
1,0.17777778,0.01980198,0.18987343,0.18158668,0.0,0.36121505,0.0,0.06666667,0.0,0.037974685,0.3448004,1.0,0.3364488,0.0,0.18888889,0.00990099,0.18987343,0.8220293,0.0,0.23204546,0.0,0.18888889,0.004950495,0.18987343,0.28892314,0.0,0.26095155,0.0,0.044444446,0.0,0.025316456,0.36594102,0.0,0.40018684,0.0,0.0,0.0,0.025316456,0.4950295,0.0,0.41196415,0.0
2,0.06666667,0.0,0.037974685,0.3448004,1.0,0.3364488,0.0,0.18888889,0.00990099,0.18987343,0.8220293,0.0,0.23204546,0.0,0.18888889,0.004950495,0.18987343,0.28892314,0.0,0.26095155,0.0,0.044444446,0.0,0.025316456,0.36594102,0.0,0.40018684,0.0,0.033333335,0.0,0.025316456,0.4950295,0.0,0.41196415,0.0,0.0,0.0,0.101265825,0.1739794,0.0,0.35651237,0.0
3,0.18888889,0.00990099,0.18987343,0.8220293,0.0,0.23204546,0.0,0.18888889,0.004950495,0.18987343,0.28892314,0.0,0.26095155,0.0,0.044444446,0.0,0.025316456,0.36594102,0.0,0.40018684,0.0,0.033333335,0.0,0.025316456,0.4950295,0.0,0.41196415,0.0,0.13333334,0.0,0.101265825,0.1739794,0.0,0.35651237,0.0,0.0,0.024752473,0.18987343,0.2151497,0.0,0.3307293,0.0
4,0.18888889,0.004950495,0.18987343,0.28892314,0.0,0.26095155,0.0,0.044444446,0.0,0.025316456,0.36594102,0.0,0.40018684,0.0,0.033333335,0.0,0.025316456,0.4950295,0.0,0.41196415,0.0,0.13333334,0.0,0.101265825,0.1739794,0.0,0.35651237,0.0,0.18888889,0.024752473,0.18987343,0.2151497,0.0,0.3307293,0.0,0.0,0.0,0.025316456,0.2927021,0.0,0.2782371,0.0
5,0.044444446,0.0,0.025316456,0.36594102,0.0,0.40018684,0.0,0.033333335,0.0,0.025316456,0.4950295,0.0,0.41196415,0.0,0.13333334,0.0,0.101265825,0.1739794,0.0,0.35651237,0.0,0.18888889,0.024752473,0.18987343,0.2151497,0.0,0.3307293,0.0,0.033333335,0.0,0.025316456,0.2927021,0.0,0.2782371,0.0,0.0,0.0,0.025316456,0.016706446,0.33333334,0.23591292,0.0
6,0.033333335,0.0,0.025316456,0.4950295,0.0,0.41196415,0.0,0.13333334,0.0,0.101265825,0.1739794,0.0,0.35651237,0.0,0.18888889,0.024752473,0.18987343,0.2151497,0.0,0.3307293,0.0,0.033333335,0.0,0.025316456,0.2927021,0.0,0.2782371,0.0,0.044444446,0.0,0.025316456,0.016706446,0.33333334,0.23591292,0.0,0.0,0.0,0.037974685,0.08917929,1.0,0.22156881,0.0
7,0.13333334,0.0,0.101265825,0.1739794,0.0,0.35651237,0.0,0.18888889,0.024752473,0.18987343,0.2151497,0.0,0.3307293,0.0,0.033333335,0.0,0.025316456,0.2927021,0.0,0.2782371,0.0,0.044444446,0.0,0.025316456,0.016706446,0.33333334,0.23591292,0.0,0.055555556,0.0,0.037974685,0.08917929,1.0,0.22156881,0.0,0.0,0.0,0.025316456,0.13078982,0.0,0.37786514,0.0
8,0.18888889,0.024752473,0.18987343,0.2151497,0.0,0.3307293,0.0,0.033333335,0.0,0.025316456,0.2927021,0.0,0.2782371,0.0,0.044444446,0.0,0.025316456,0.016706446,0.33333334,0.23591292,0.0,0.055555556,0.0,0.037974685,0.08917929,1.0,0.22156881,0.0,0.044444446,0.0,0.025316456,0.13078982,0.0,0.37786514,0.0,0.0,0.0,0.0,0.37133157,0.0,0.4144085,0.0
9,0.033333335,0.0,0.025316456,0.2927021,0.0,0.2782371,0.0,0.044444446,0.0,0.025316456,0.016706446,0.33333334,0.23591292,0.0,0.055555556,0.0,0.037974685,0.08917929,1.0,0.22156881,0.0,0.044444446,0.0,0.025316456,0.13078982,0.0,0.37786514,0.0,0.022222223,0.0,0.0,0.37133157,0.0,0.4144085,0.0,0.0,0.0,0.012658228,0.18128443,0.0,0.36390233,0.0
