,var1(t-5),var2(t-5),var3(t-5),var4(t-5),var5(t-5),var6(t-5),var7(t-5),var1(t-4),var2(t-4),var3(t-4),var4(t-4),var5(t-4),var6(t-4),var7(t-4),var1(t-3),var2(t-3),var3(t-3),var4(t-3),var5(t-3),var6(t-3),var7(t-3),var1(t-2),var2(t-2),var3(t-2),var4(t-2),var5(t-2),var6(t-2),var7(t-2),var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var1(t),var2(t),var3(t),var4(t),var5(t),var6(t),var7(t)
0,0.33950618,0.049465857,0.36885244,0.08561421,0.33333334,0.5162819,0.0,0.33950618,0.045750115,0.34426227,0.23994415,0.6666666,0.511824,0.003846154,0.27160496,0.034602877,0.30327868,0.14619929,0.6666666,0.5430291,0.0,0.40123457,0.075243846,0.45901638,0.015433886,1.0,0.5717863,0.0,0.12962963,0.058755223,0.122950815,0.13644965,0.6666666,0.5990725,0.003846154,0.0,0.06177427,0.22950818,0.04642385,0.33333334,0.5407272,0.0
1,0.33950618,0.045750115,0.34426227,0.23994415,0.6666666,0.511824,0.003846154,0.27160496,0.034602877,0.30327868,0.14619929,0.6666666,0.5430291,0.0,0.40123457,0.075243846,0.45901638,0.015433886,1.0,0.5717863,0.0,0.12962963,0.058755223,0.122950815,0.13644965,0.6666666,0.5990725,0.003846154,0.24074073,0.06177427,0.22950818,0.04642385,0.33333334,0.5407272,0.0,0.0,0.05852299,0.40983605,0.08883743,0.0,0.5561108,0.007692308
2,0.27160496,0.034602877,0.30327868,0.14619929,0.6666666,0.5430291,0.0,0.40123457,0.075243846,0.45901638,0.015433886,1.0,0.5717863,0.0,0.12962963,0.058755223,0.122950815,0.13644965,0.6666666,0.5990725,0.003846154,0.24074073,0.06177427,0.22950818,0.04642385,0.33333334,0.5407272,0.0,0.35185188,0.05852299,0.40983605,0.08883743,0.0,0.5561108,0.007692308,0.0,0.027403623,0.09016393,0.24843909,0.0,0.5513722,0.007692308
3,0.40123457,0.075243846,0.45901638,0.015433886,1.0,0.5717863,0.0,0.12962963,0.058755223,0.122950815,0.13644965,0.6666666,0.5990725,0.003846154,0.24074073,0.06177427,0.22950818,0.04642385,0.33333334,0.5407272,0.0,0.35185188,0.05852299,0.40983605,0.08883743,0.0,0.5561108,0.007692308,0.08024691,0.027403623,0.09016393,0.24843909,0.0,0.5513722,0.007692308,0.0,0.03019043,0.27868852,0.16379572,1.0,0.5429505,0.003846154
4,0.12962963,0.058755223,0.122950815,0.13644965,0.6666666,0.5990725,0.003846154,0.24074073,0.06177427,0.22950818,0.04642385,0.33333334,0.5407272,0.0,0.35185188,0.05852299,0.40983605,0.08883743,0.0,0.5561108,0.007692308,0.08024691,0.027403623,0.09016393,0.24843909,0.0,0.5513722,0.007692308,0.22222222,0.03019043,0.27868852,0.16379572,1.0,0.5429505,0.003846154,0.0,0.052717138,0.40163934,0.05345291,0.0,0.47016487,0.0
5,0.24074073,0.06177427,0.22950818,0.04642385,0.33333334,0.5407272,0.0,0.35185188,0.05852299,0.40983605,0.08883743,0.0,0.5561108,0.007692308,0.08024691,0.027403623,0.09016393,0.24843909,0.0,0.5513722,0.007692308,0.22222222,0.03019043,0.27868852,0.16379572,1.0,0.5429505,0.003846154,0.35802472,0.052717138,0.40163934,0.05345291,0.0,0.47016487,0.0,0.0,0.038318623,0.44262293,0.284499,1.0,0.5140463,0.0
6,0.35185188,0.05852299,0.40983605,0.08883743,0.0,0.5561108,0.007692308,0.08024691,0.027403623,0.09016393,0.24843909,0.0,0.5513722,0.007692308,0.22222222,0.03019043,0.27868852,0.16379572,1.0,0.5429505,0.003846154,0.35802472,0.052717138,0.40163934,0.05345291,0.0,0.47016487,0.0,0.32098767,0.038318623,0.44262293,0.284499,1.0,0.5140463,0.0,0.0,0.02670692,0.22950818,0.01172085,0.0,0.51474357,0.042307694
7,0.08024691,0.027403623,0.09016393,0.24843909,0.0,0.5513722,0.007692308,0.22222222,0.03019043,0.27868852,0.16379572,1.0,0.5429505,0.003846154,0.35802472,0.052717138,0.40163934,0.05345291,0.0,0.47016487,0.0,0.32098767,0.038318623,0.44262293,0.284499,1.0,0.5140463,0.0,0.17901234,0.02670692,0.22950818,0.01172085,0.0,0.51474357,0.042307694,0.0,0.026010217,0.1967213,0.12012083,1.0,0.5259163,0.16538464
8,0.22222222,0.03019043,0.27868852,0.16379572,1.0,0.5429505,0.003846154,0.35802472,0.052717138,0.40163934,0.05345291,0.0,0.47016487,0.0,0.32098767,0.038318623,0.44262293,0.284499,1.0,0.5140463,0.0,0.17901234,0.02670692,0.22950818,0.01172085,0.0,0.51474357,0.042307694,0.16666667,0.026010217,0.1967213,0.12012083,1.0,0.5259163,0.16538464,0.0,0.026474684,0.1967213,0.1874953,1.0,0.5378863,0.40384617
9,0.35802472,0.052717138,0.40163934,0.05345291,0.0,0.47016487,0.0,0.32098767,0.038318623,0.44262293,0.284499,1.0,0.5140463,0.0,0.17901234,0.02670692,0.22950818,0.01172085,0.0,0.51474357,0.042307694,0.16666667,0.026010217,0.1967213,0.12012083,1.0,0.5259163,0.16538464,0.16049382,0.026474684,0.1967213,0.1874953,1.0,0.5378863,0.40384617,0.0,0.026474684,0.21311474,0.22711596,1.0,0.5655094,0.03846154
