Date,IDStation,NameStation,Ammonia,Arsenic,Benzene,Benzo_a_pyrene,BlackCarbon,Cadmium,CO,Lead,Nikel,NO,NO2,NOx,Ozone,PM10,PM25,Sulfur_dioxide
2018-01-01T00:00:00Z,677,Cremona Via Fatebenefratelli,6.2,NA,NA,NA,NA,NA,0.5083333333333333,NA,NA,NA,36.175,63.57083333333333,5.225,NA,45,1.8291666666666666
2018-01-01T00:00:00Z,705,Milano Pascal Citta Studi,NA,NA,1.5,NA,2.3,NA,NA,NA,NA,NA,33.34583333333333,46.0875,8.575,34,33,1.4875
2018-01-01T00:00:00Z,681,Moggio,1.4,NA,NA,NA,NA,NA,NA,NA,NA,0.3416666666666667,3.3083333333333336,5.075,66.1,5,4,NA
2018-01-01T00:00:00Z,642,Pavia Via Folperti,4.2,NA,1.3,NA,NA,NA,NA,NA,NA,NA,37.05,58.416666666666664,6.770833333333333,54,46,5.941666666666666
2018-01-01T00:00:00Z,693,Sannazzaro De Burgondi Agip,5.3,NA,1.3,NA,NA,NA,NA,NA,NA,NA,34.44166666666667,41.3625,NA,45,43,4.4875
2018-01-01T00:00:00Z,703,Schivenoglia,NA,NA,1,NA,NA,NA,1.1590909090909092,NA,NA,NA,25.572727272727274,35.85,9.281818181818181,44,43,4.8136363636363635
2018-01-02T00:00:00Z,677,Cremona Via Fatebenefratelli,1.8,NA,NA,NA,NA,NA,0.375,NA,NA,NA,35.925,47.75,18.441666666666666,32,27,1.3416666666666668
2018-01-02T00:00:00Z,705,Milano Pascal Citta Studi,NA,NA,2.2,NA,3,NA,NA,NA,NA,NA,44.7,79.33333333333333,10.541666666666666,28,23,2.8
2018-01-02T00:00:00Z,681,Moggio,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1.4416666666666667,1.2833333333333334,85.89166666666667,3,2,NA
2018-01-02T00:00:00Z,642,Pavia Via Folperti,2.2,NA,1.2,NA,NA,NA,NA,NA,NA,NA,49.17916666666667,106.85,10.979166666666666,34,25,9.3875
2018-01-02T00:00:00Z,693,Sannazzaro De Burgondi Agip,5.6,NA,1.3,NA,NA,NA,NA,NA,NA,NA,31.5,49.825,NA,32,26,3.9875
2018-01-02T00:00:00Z,703,Schivenoglia,NA,NA,0.5,NA,NA,NA,1.0105263157894737,NA,NA,NA,26.857894736842105,30.95263157894737,20.094444444444445,30,27,4.742105263157895
2018-01-03T00:00:00Z,677,Cremona Via Fatebenefratelli,2.7,NA,NA,NA,NA,NA,0.5541666666666667,NA,NA,NA,60.104166666666664,150.79583333333335,3.6708333333333334,41,35,1.4208333333333334
2018-01-03T00:00:00Z,705,Milano Pascal Citta Studi,NA,NA,2.9,NA,4.6,NA,NA,NA,NA,NA,61.5625,149.125,4.1,32,23,4.233333333333333
2018-01-03T00:00:00Z,681,Moggio,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1.75,1.5,84.72083333333333,5,5,NA
2018-01-03T00:00:00Z,642,Pavia Via Folperti,2.4,NA,1.5,NA,NA,NA,NA,NA,NA,NA,62.35,140.54583333333335,3.5458333333333334,32,29,8.295833333333334
2018-01-03T00:00:00Z,693,Sannazzaro De Burgondi Agip,5.2,NA,2,NA,NA,NA,NA,NA,NA,NA,44.141666666666666,76.22916666666667,NA,25,21,7.4
2018-01-03T00:00:00Z,703,Schivenoglia,16.2,NA,1,NA,NA,NA,1.1416666666666666,NA,NA,NA,29.5125,54.229166666666664,4.9125,39,38,5.270833333333333
2018-01-04T00:00:00Z,677,Cremona Via Fatebenefratelli,3.8,NA,NA,NA,NA,NA,0.5291666666666667,NA,NA,NA,53.795833333333334,113.5125,6.008333333333334,45,33,2.6416666666666666
2018-01-04T00:00:00Z,705,Milano Pascal Citta Studi,NA,NA,2.1,NA,3.9,NA,NA,NA,NA,NA,50.99583333333334,109.42083333333333,10.554166666666667,31,22,3.8875
2018-01-04T00:00:00Z,681,Moggio,1.4,NA,NA,NA,NA,NA,NA,NA,NA,0.008333333333333333,1.6666666666666667,2.0083333333333333,86.09583333333333,6,3,NA
2018-01-04T00:00:00Z,642,Pavia Via Folperti,2.9,NA,1.3,NA,NA,NA,NA,NA,NA,NA,60.4375,126.76666666666667,7.958333333333333,38,27,7.695833333333334
2018-01-04T00:00:00Z,693,Sannazzaro De Burgondi Agip,5.4,NA,1.7,NA,NA,NA,NA,NA,NA,NA,48.75,112.77916666666667,NA,27,19,4.808333333333334
2018-01-04T00:00:00Z,703,Schivenoglia,17.1,NA,0.9,NA,NA,NA,1.175,NA,NA,NA,40.0125,63.90416666666667,8.433333333333334,44,37,6.183333333333334
2018-01-05T00:00:00Z,677,Cremona Via Fatebenefratelli,7.5,NA,NA,NA,NA,NA,0.6749999999999999,NA,NA,NA,47.733333333333334,146.56666666666666,0.9875,47,44,1.0625
2018-01-05T00:00:00Z,705,Milano Pascal Citta Studi,NA,NA,3,NA,5.4,NA,NA,NA,NA,NA,47.63333333333333,113.4375,3.15,56,44,2.1458333333333335
2018-01-05T00:00:00Z,681,Moggio,1.7,NA,NA,NA,NA,NA,NA,NA,NA,0.125,2.8249999999999997,3.966666666666667,63.1875,7,8,NA
2018-01-05T00:00:00Z,642,Pavia Via Folperti,6.8,NA,1.5,NA,NA,NA,NA,NA,NA,NA,47.108333333333334,119.13333333333334,0.95,62,48,7.7375
2018-01-05T00:00:00Z,693,Sannazzaro De Burgondi Agip,8.1,NA,1.9,NA,NA,NA,NA,NA,NA,NA,38.4125,101.86666666666666,NA,49,42,3.4
2018-01-05T00:00:00Z,703,Schivenoglia,20.5,NA,1,NA,NA,NA,1.2083333333333333,NA,NA,NA,29.704166666666666,56.55,7.791304347826087,40,39,5.570833333333334
2018-01-06T00:00:00Z,677,Cremona Via Fatebenefratelli,9.3,NA,NA,NA,NA,NA,0.7083333333333334,NA,NA,NA,42.7875,131.20416666666668,0.9125,48,44,2.275
2018-01-06T00:00:00Z,705,Milano Pascal Citta Studi,NA,NA,3.2,NA,5,NA,NA,NA,NA,NA,44.87916666666667,97.79166666666667,2.825,46,39,1.8083333333333333
2018-01-06T00:00:00Z,681,Moggio,1.9,NA,NA,NA,NA,NA,NA,NA,NA,0,1.85,1.325,67.12083333333334,6,7,NA
2018-01-06T00:00:00Z,642,Pavia Via Folperti,3.6,NA,1.7,NA,NA,NA,NA,NA,NA,NA,45.90833333333333,122.68333333333334,0.6583333333333333,38,34,8.070833333333333
2018-01-06T00:00:00Z,693,Sannazzaro De Burgondi Agip,6.1,NA,2.3,NA,NA,NA,NA,NA,NA,NA,34.420833333333334,83.3875,NA,41,38,2.8125
2018-01-06T00:00:00Z,703,Schivenoglia,28.5,NA,1.9,NA,NA,NA,1.4541666666666666,NA,NA,NA,30.420833333333334,72.3375,6.641666666666667,86,82,6.070833333333334
2018-01-07T00:00:00Z,677,Cremona Via Fatebenefratelli,5.7,NA,NA,NA,NA,NA,0.6,NA,NA,NA,38.525,77.05833333333334,1.775,35,30,1.9375
2018-01-07T00:00:00Z,705,Milano Pascal Citta Studi,NA,NA,3,NA,4.7,NA,NA,NA,NA,NA,34.670833333333334,87.65,2.9625,47,35,1.65
