,var1(t-5),var2(t-5),var3(t-5),var4(t-5),var5(t-5),var6(t-5),var7(t-5),var1(t-4),var2(t-4),var3(t-4),var4(t-4),var5(t-4),var6(t-4),var7(t-4),var1(t-3),var2(t-3),var3(t-3),var4(t-3),var5(t-3),var6(t-3),var7(t-3),var1(t-2),var2(t-2),var3(t-2),var4(t-2),var5(t-2),var6(t-2),var7(t-2),var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var1(t),var2(t),var3(t),var4(t),var5(t),var6(t),var7(t)
0,0.2962963,0.0633999,0.3196721,0.078559235,1.0,0.56309515,0.0,0.27160496,0.06665119,0.3114754,0.03361712,1.0,0.5576716,0.0,0.25925928,0.049698092,0.28688523,0.05571632,1.0,0.51778656,0.003846154,0.3271605,0.054342777,0.36885244,0.27597338,0.6666666,0.5703378,0.003846154,0.29012346,0.045750115,0.34426227,0.073838346,0.0,0.5677439,0.0,0.0,0.024616813,0.29508197,0.08218896,0.33333334,0.53958184,0.0
1,0.27160496,0.06665119,0.3114754,0.03361712,1.0,0.5576716,0.0,0.25925928,0.049698092,0.28688523,0.05571632,1.0,0.51778656,0.003846154,0.3271605,0.054342777,0.36885244,0.27597338,0.6666666,0.5703378,0.003846154,0.29012346,0.045750115,0.34426227,0.073838346,0.0,0.5677439,0.0,0.25308645,0.024616813,0.29508197,0.08218896,0.33333334,0.53958184,0.0,0.0,0.01764979,0.18032785,0.1276679,1.0,0.47785664,0.007692308
2,0.25925928,0.049698092,0.28688523,0.05571632,1.0,0.51778656,0.003846154,0.3271605,0.054342777,0.36885244,0.27597338,0.6666666,0.5703378,0.003846154,0.29012346,0.045750115,0.34426227,0.073838346,0.0,0.5677439,0.0,0.25308645,0.024616813,0.29508197,0.08218896,0.33333334,0.53958184,0.0,0.22839506,0.01764979,0.18032785,0.1276679,1.0,0.47785664,0.007692308,0.0,0.015095215,0.08196721,0.2660272,1.0,0.4814499,0.003846154
3,0.3271605,0.054342777,0.36885244,0.27597338,0.6666666,0.5703378,0.003846154,0.29012346,0.045750115,0.34426227,0.073838346,0.0,0.5677439,0.0,0.25308645,0.024616813,0.29508197,0.08218896,0.33333334,0.53958184,0.0,0.22839506,0.01764979,0.18032785,0.1276679,1.0,0.47785664,0.007692308,0.12962963,0.015095215,0.08196721,0.2660272,1.0,0.4814499,0.003846154,0.0,0.05643288,0.36885244,0.03584091,0.6666666,0.5539998,0.003846154
4,0.29012346,0.045750115,0.34426227,0.073838346,0.0,0.5677439,0.0,0.25308645,0.024616813,0.29508197,0.08218896,0.33333334,0.53958184,0.0,0.22839506,0.01764979,0.18032785,0.1276679,1.0,0.47785664,0.007692308,0.12962963,0.015095215,0.08196721,0.2660272,1.0,0.4814499,0.003846154,0.30246913,0.05643288,0.36885244,0.03584091,0.6666666,0.5539998,0.003846154,0.0,0.04203437,0.26229507,0.05669789,0.6666666,0.46798646,0.007692308
5,0.25308645,0.024616813,0.29508197,0.08218896,0.33333334,0.53958184,0.0,0.22839506,0.01764979,0.18032785,0.1276679,1.0,0.47785664,0.007692308,0.12962963,0.015095215,0.08196721,0.2660272,1.0,0.4814499,0.003846154,0.30246913,0.05643288,0.36885244,0.03584091,0.6666666,0.5539998,0.003846154,0.28395063,0.04203437,0.26229507,0.05669789,0.6666666,0.46798646,0.007692308,0.0,0.05457501,0.45901638,0.02667826,0.6666666,0.5088035,0.003846154
6,0.22839506,0.01764979,0.18032785,0.1276679,1.0,0.47785664,0.007692308,0.12962963,0.015095215,0.08196721,0.2660272,1.0,0.4814499,0.003846154,0.30246913,0.05643288,0.36885244,0.03584091,0.6666666,0.5539998,0.003846154,0.28395063,0.04203437,0.26229507,0.05669789,0.6666666,0.46798646,0.007692308,0.39506173,0.05457501,0.45901638,0.02667826,0.6666666,0.5088035,0.003846154,0.0,0.08499767,0.6229508,0.09062809,1.0,0.5610403,0.0
7,0.12962963,0.015095215,0.08196721,0.2660272,1.0,0.4814499,0.003846154,0.30246913,0.05643288,0.36885244,0.03584091,0.6666666,0.5539998,0.003846154,0.28395063,0.04203437,0.26229507,0.05669789,0.6666666,0.46798646,0.007692308,0.39506173,0.05457501,0.45901638,0.02667826,0.6666666,0.5088035,0.003846154,0.5123457,0.08499767,0.6229508,0.09062809,1.0,0.5610403,0.0,0.0,0.067347884,0.6229508,0.07096885,1.0,0.5748967,0.0
8,0.30246913,0.05643288,0.36885244,0.03584091,0.6666666,0.5539998,0.003846154,0.28395063,0.04203437,0.26229507,0.05669789,0.6666666,0.46798646,0.007692308,0.39506173,0.05457501,0.45901638,0.02667826,0.6666666,0.5088035,0.003846154,0.5123457,0.08499767,0.6229508,0.09062809,1.0,0.5610403,0.0,0.5740741,0.067347884,0.6229508,0.07096885,1.0,0.5748967,0.0,0.0,0.056665115,0.49180326,0.23656645,1.0,0.5728643,0.003846154
9,0.28395063,0.04203437,0.26229507,0.05669789,0.6666666,0.46798646,0.007692308,0.39506173,0.05457501,0.45901638,0.02667826,0.6666666,0.5088035,0.003846154,0.5123457,0.08499767,0.6229508,0.09062809,1.0,0.5610403,0.0,0.5740741,0.067347884,0.6229508,0.07096885,1.0,0.5748967,0.0,0.43209878,0.056665115,0.49180326,0.23656645,1.0,0.5728643,0.003846154,0.0,0.034602877,0.29508197,0.16946255,1.0,0.5877538,0.21923077
