,var1(t-5),var2(t-5),var3(t-5),var4(t-5),var5(t-5),var6(t-5),var7(t-5),var1(t-4),var2(t-4),var3(t-4),var4(t-4),var5(t-4),var6(t-4),var7(t-4),var1(t-3),var2(t-3),var3(t-3),var4(t-3),var5(t-3),var6(t-3),var7(t-3),var1(t-2),var2(t-2),var3(t-2),var4(t-2),var5(t-2),var6(t-2),var7(t-2),var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var1(t),var2(t),var3(t),var4(t),var5(t),var6(t),var7(t)
0,0.19047621,0.0633999,0.32520324,0.078559235,1.0,0.56309515,0.0,0.17460318,0.06665119,0.31707317,0.03361712,1.0,0.5576716,0.0,0.16666667,0.049698092,0.29268292,0.05571632,1.0,0.51778656,0.0036764704,0.15079366,0.05062703,0.23577234,0.23156548,1.0,0.5190779,0.0073529407,0.27380952,0.05155597,0.48780486,0.0320407,0.0,0.52295184,0.0036764704,0.0,0.052484903,0.4796748,0.20147346,0.6666666,0.51703423,0.0036764704
1,0.17460318,0.06665119,0.31707317,0.03361712,1.0,0.5576716,0.0,0.16666667,0.049698092,0.29268292,0.05571632,1.0,0.51778656,0.0036764704,0.15079366,0.05062703,0.23577234,0.23156548,1.0,0.5190779,0.0073529407,0.27380952,0.05155597,0.48780486,0.0320407,0.0,0.52295184,0.0036764704,0.25,0.052484903,0.4796748,0.20147346,0.6666666,0.51703423,0.0036764704,0.0,0.05341384,0.44715446,0.13332933,1.0,0.5427147,0.0
2,0.16666667,0.049698092,0.29268292,0.05571632,1.0,0.51778656,0.0036764704,0.15079366,0.05062703,0.23577234,0.23156548,1.0,0.5190779,0.0073529407,0.27380952,0.05155597,0.48780486,0.0320407,0.0,0.52295184,0.0036764704,0.25,0.052484903,0.4796748,0.20147346,0.6666666,0.51703423,0.0036764704,0.24603178,0.05341384,0.44715446,0.13332933,1.0,0.5427147,0.0,0.0,0.054342777,0.37398374,0.27597338,0.6666666,0.5703378,0.0036764704
3,0.15079366,0.05062703,0.23577234,0.23156548,1.0,0.5190779,0.0073529407,0.27380952,0.05155597,0.48780486,0.0320407,0.0,0.52295184,0.0036764704,0.25,0.052484903,0.4796748,0.20147346,0.6666666,0.51703423,0.0036764704,0.24603178,0.05341384,0.44715446,0.13332933,1.0,0.5427147,0.0,0.21031748,0.054342777,0.37398374,0.27597338,0.6666666,0.5703378,0.0036764704,0.0,0.045750115,0.3495935,0.073838346,0.0,0.5677439,0.0
4,0.27380952,0.05155597,0.48780486,0.0320407,0.0,0.52295184,0.0036764704,0.25,0.052484903,0.4796748,0.20147346,0.6666666,0.51703423,0.0036764704,0.24603178,0.05341384,0.44715446,0.13332933,1.0,0.5427147,0.0,0.21031748,0.054342777,0.37398374,0.27597338,0.6666666,0.5703378,0.0036764704,0.18650796,0.045750115,0.3495935,0.073838346,0.0,0.5677439,0.0,0.0,0.024616813,0.300813,0.08218896,0.33333334,0.53958184,0.0
5,0.25,0.052484903,0.4796748,0.20147346,0.6666666,0.51703423,0.0036764704,0.24603178,0.05341384,0.44715446,0.13332933,1.0,0.5427147,0.0,0.21031748,0.054342777,0.37398374,0.27597338,0.6666666,0.5703378,0.0036764704,0.18650796,0.045750115,0.3495935,0.073838346,0.0,0.5677439,0.0,0.16269842,0.024616813,0.300813,0.08218896,0.33333334,0.53958184,0.0,0.0,0.01764979,0.18699187,0.1276679,1.0,0.47785664,0.0073529407
6,0.24603178,0.05341384,0.44715446,0.13332933,1.0,0.5427147,0.0,0.21031748,0.054342777,0.37398374,0.27597338,0.6666666,0.5703378,0.0036764704,0.18650796,0.045750115,0.3495935,0.073838346,0.0,0.5677439,0.0,0.16269842,0.024616813,0.300813,0.08218896,0.33333334,0.53958184,0.0,0.1468254,0.01764979,0.18699187,0.1276679,1.0,0.47785664,0.0073529407,0.0,0.015095215,0.08943089,0.2660272,1.0,0.4814499,0.0036764704
7,0.21031748,0.054342777,0.37398374,0.27597338,0.6666666,0.5703378,0.0036764704,0.18650796,0.045750115,0.3495935,0.073838346,0.0,0.5677439,0.0,0.16269842,0.024616813,0.300813,0.08218896,0.33333334,0.53958184,0.0,0.1468254,0.01764979,0.18699187,0.1276679,1.0,0.47785664,0.0073529407,0.08333334,0.015095215,0.08943089,0.2660272,1.0,0.4814499,0.0036764704,0.0,0.026242452,0.23577234,0.1497662,1.0,0.48506558,0.0073529407
8,0.18650796,0.045750115,0.3495935,0.073838346,0.0,0.5677439,0.0,0.16269842,0.024616813,0.300813,0.08218896,0.33333334,0.53958184,0.0,0.1468254,0.01764979,0.18699187,0.1276679,1.0,0.47785664,0.0073529407,0.08333334,0.015095215,0.08943089,0.2660272,1.0,0.4814499,0.0036764704,0.15873016,0.026242452,0.23577234,0.1497662,1.0,0.48506558,0.0073529407,0.0,0.03738969,0.28184283,0.020092951,0.0,0.5129469,0.0036764704
9,0.16269842,0.024616813,0.300813,0.08218896,0.33333334,0.53958184,0.0,0.1468254,0.01764979,0.18699187,0.1276679,1.0,0.47785664,0.0073529407,0.08333334,0.015095215,0.08943089,0.2660272,1.0,0.4814499,0.0036764704,0.15873016,0.026242452,0.23577234,0.1497662,1.0,0.48506558,0.0073529407,0.17063493,0.03738969,0.28184283,0.020092951,0.0,0.5129469,0.0036764704,0.0,0.046679053,0.32791325,0.165771,1.0,0.5434895,0.0
10,0.1468254,0.01764979,0.18699187,0.1276679,1.0,0.47785664,0.0073529407,0.08333334,0.015095215,0.08943089,0.2660272,1.0,0.4814499,0.0036764704,0.15873016,0.026242452,0.23577234,0.1497662,1.0,0.48506558,0.0073529407,0.17063493,0.03738969,0.28184283,0.020092951,0.0,0.5129469,0.0036764704,0.1825397,0.046679053,0.32791325,0.165771,1.0,0.5434895,0.0,0.0,0.05643288,0.37398374,0.03584091,0.6666666,0.5539998,0.0036764704
11,0.08333334,0.015095215,0.08943089,0.2660272,1.0,0.4814499,0.0036764704,0.15873016,0.026242452,0.23577234,0.1497662,1.0,0.48506558,0.0073529407,0.17063493,0.03738969,0.28184283,0.020092951,0.0,0.5129469,0.0036764704,0.1825397,0.046679053,0.32791325,0.165771,1.0,0.5434895,0.0,0.19444446,0.05643288,0.37398374,0.03584091,0.6666666,0.5539998,0.0036764704,0.0,0.04203437,0.26829267,0.05669789,0.6666666,0.46798646,0.0073529407
12,0.15873016,0.026242452,0.23577234,0.1497662,1.0,0.48506558,0.0073529407,0.17063493,0.03738969,0.28184283,0.020092951,0.0,0.5129469,0.0036764704,0.1825397,0.046679053,0.32791325,0.165771,1.0,0.5434895,0.0,0.19444446,0.05643288,0.37398374,0.03584091,0.6666666,0.5539998,0.0036764704,0.1825397,0.04203437,0.26829267,0.05669789,0.6666666,0.46798646,0.0073529407,0.0,0.05457501,0.4634146,0.02667826,0.6666666,0.5088035,0.0036764704
13,0.17063493,0.03738969,0.28184283,0.020092951,0.0,0.5129469,0.0036764704,0.1825397,0.046679053,0.32791325,0.165771,1.0,0.5434895,0.0,0.19444446,0.05643288,0.37398374,0.03584091,0.6666666,0.5539998,0.0036764704,0.1825397,0.04203437,0.26829267,0.05669789,0.6666666,0.46798646,0.0073529407,0.25396827,0.05457501,0.4634146,0.02667826,0.6666666,0.5088035,0.0036764704,0.0,0.08499767,0.62601626,0.09062809,1.0,0.5610403,0.0
14,0.1825397,0.046679053,0.32791325,0.165771,1.0,0.5434895,0.0,0.19444446,0.05643288,0.37398374,0.03584091,0.6666666,0.5539998,0.0036764704,0.1825397,0.04203437,0.26829267,0.05669789,0.6666666,0.46798646,0.0073529407,0.25396827,0.05457501,0.4634146,0.02667826,0.6666666,0.5088035,0.0036764704,0.32936507,0.08499767,0.62601626,0.09062809,1.0,0.5610403,0.0,0.0,0.067347884,0.62601626,0.07096885,1.0,0.5748967,0.0
15,0.19444446,0.05643288,0.37398374,0.03584091,0.6666666,0.5539998,0.0036764704,0.1825397,0.04203437,0.26829267,0.05669789,0.6666666,0.46798646,0.0073529407,0.25396827,0.05457501,0.4634146,0.02667826,0.6666666,0.5088035,0.0036764704,0.32936507,0.08499767,0.62601626,0.09062809,1.0,0.5610403,0.0,0.36904764,0.067347884,0.62601626,0.07096885,1.0,0.5748967,0.0,0.0,0.056665115,0.49593493,0.23656645,1.0,0.5728643,0.0036764704
16,0.1825397,0.04203437,0.26829267,0.05669789,0.6666666,0.46798646,0.0073529407,0.25396827,0.05457501,0.4634146,0.02667826,0.6666666,0.5088035,0.0036764704,0.32936507,0.08499767,0.62601626,0.09062809,1.0,0.5610403,0.0,0.36904764,0.067347884,0.62601626,0.07096885,1.0,0.5748967,0.0,0.2777778,0.056665115,0.49593493,0.23656645,1.0,0.5728643,0.0036764704,0.0,0.034602877,0.300813,0.16946255,1.0,0.5877538,0.2095588
17,0.25396827,0.05457501,0.4634146,0.02667826,0.6666666,0.5088035,0.0036764704,0.32936507,0.08499767,0.62601626,0.09062809,1.0,0.5610403,0.0,0.36904764,0.067347884,0.62601626,0.07096885,1.0,0.5748967,0.0,0.2777778,0.056665115,0.49593493,0.23656645,1.0,0.5728643,0.0036764704,0.15873016,0.034602877,0.300813,0.16946255,1.0,0.5877538,0.2095588,0.0,0.022294473,0.1707317,0.15076204,1.0,0.58498025,0.0036764704
18,0.32936507,0.08499767,0.62601626,0.09062809,1.0,0.5610403,0.0,0.36904764,0.067347884,0.62601626,0.07096885,1.0,0.5748967,0.0,0.2777778,0.056665115,0.49593493,0.23656645,1.0,0.5728643,0.0036764704,0.15873016,0.034602877,0.300813,0.16946255,1.0,0.5877538,0.2095588,0.09126985,0.022294473,0.1707317,0.15076204,1.0,0.58498025,0.0036764704,0.0,0.014398512,0.113821134,0.24022877,0.0,0.57133716,0.0
19,0.36904764,0.067347884,0.62601626,0.07096885,1.0,0.5748967,0.0,0.2777778,0.056665115,0.49593493,0.23656645,1.0,0.5728643,0.0036764704,0.15873016,0.034602877,0.300813,0.16946255,1.0,0.5877538,0.2095588,0.09126985,0.022294473,0.1707317,0.15076204,1.0,0.58498025,0.0036764704,0.059523813,0.014398512,0.113821134,0.24022877,0.0,0.57133716,0.0,0.0,0.01648862,0.22764227,0.1817312,1.0,0.54992366,0.0
20,0.2777778,0.056665115,0.49593493,0.23656645,1.0,0.5728643,0.0036764704,0.15873016,0.034602877,0.300813,0.16946255,1.0,0.5877538,0.2095588,0.09126985,0.022294473,0.1707317,0.15076204,1.0,0.58498025,0.0036764704,0.059523813,0.014398512,0.113821134,0.24022877,0.0,0.57133716,0.0,0.12698413,0.01648862,0.22764227,0.1817312,1.0,0.54992366,0.0,0.0,0.03692522,0.29268292,0.25131908,0.6666666,0.53989625,0.0
21,0.15873016,0.034602877,0.300813,0.16946255,1.0,0.5877538,0.2095588,0.09126985,0.022294473,0.1707317,0.15076204,1.0,0.58498025,0.0036764704,0.059523813,0.014398512,0.113821134,0.24022877,0.0,0.57133716,0.0,0.12698413,0.01648862,0.22764227,0.1817312,1.0,0.54992366,0.0,0.16269842,0.03692522,0.29268292,0.25131908,0.6666666,0.53989625,0.0,0.0,0.038783096,0.4308943,0.06877889,0.0,0.53852636,0.0036764704
22,0.09126985,0.022294473,0.1707317,0.15076204,1.0,0.58498025,0.0036764704,0.059523813,0.014398512,0.113821134,0.24022877,0.0,0.57133716,0.0,0.12698413,0.01648862,0.22764227,0.1817312,1.0,0.54992366,0.0,0.16269842,0.03692522,0.29268292,0.25131908,0.6666666,0.53989625,0.0,0.23015875,0.038783096,0.4308943,0.06877889,0.0,0.53852636,0.0036764704,0.0,0.051323734,0.5609756,0.037295055,0.6666666,0.5417266,0.0
23,0.059523813,0.014398512,0.113821134,0.24022877,0.0,0.57133716,0.0,0.12698413,0.01648862,0.22764227,0.1817312,1.0,0.54992366,0.0,0.16269842,0.03692522,0.29268292,0.25131908,0.6666666,0.53989625,0.0,0.23015875,0.038783096,0.4308943,0.06877889,0.0,0.53852636,0.0036764704,0.30555555,0.051323734,0.5609756,0.037295055,0.6666666,0.5417266,0.0,0.0,0.023223408,0.5934959,0.17660406,1.0,0.57043886,0.047794115
24,0.12698413,0.01648862,0.22764227,0.1817312,1.0,0.54992366,0.0,0.16269842,0.03692522,0.29268292,0.25131908,0.6666666,0.53989625,0.0,0.23015875,0.038783096,0.4308943,0.06877889,0.0,0.53852636,0.0036764704,0.30555555,0.051323734,0.5609756,0.037295055,0.6666666,0.5417266,0.0,0.33333334,0.023223408,0.5934959,0.17660406,1.0,0.57043886,0.047794115,0.0,0.026010217,0.4796748,0.1701048,0.6666666,0.5921892,0.0
25,0.16269842,0.03692522,0.29268292,0.25131908,0.6666666,0.53989625,0.0,0.23015875,0.038783096,0.4308943,0.06877889,0.0,0.53852636,0.0036764704,0.30555555,0.051323734,0.5609756,0.037295055,0.6666666,0.5417266,0.0,0.33333334,0.023223408,0.5934959,0.17660406,1.0,0.57043886,0.047794115,0.28174603,0.026010217,0.4796748,0.1701048,0.6666666,0.5921892,0.0,0.0,0.039944265,0.4227642,0.060218856,0.6666666,0.57067466,0.0036764704
26,0.23015875,0.038783096,0.4308943,0.06877889,0.0,0.53852636,0.0036764704,0.30555555,0.051323734,0.5609756,0.037295055,0.6666666,0.5417266,0.0,0.33333334,0.023223408,0.5934959,0.17660406,1.0,0.57043886,0.047794115,0.28174603,0.026010217,0.4796748,0.1701048,0.6666666,0.5921892,0.0,0.234127,0.039944265,0.4227642,0.060218856,0.6666666,0.57067466,0.0036764704,0.0,0.022526706,0.60975605,0.14233756,1.0,0.59836507,0.0
27,0.30555555,0.051323734,0.5609756,0.037295055,0.6666666,0.5417266,0.0,0.33333334,0.023223408,0.5934959,0.17660406,1.0,0.57043886,0.047794115,0.28174603,0.026010217,0.4796748,0.1701048,0.6666666,0.5921892,0.0,0.234127,0.039944265,0.4227642,0.060218856,0.6666666,0.57067466,0.0036764704,0.30952382,0.022526706,0.60975605,0.14233756,1.0,0.59836507,0.0,0.0,0.01764979,0.29268292,0.3269922,1.0,0.6009028,0.0036764704
