,0
0,0.3157895
1,0.24561402
2,0.29239765
3,0.26900586
4,0.32748538
5,0.39766082
6,0.42105263
7,0.3859649
8,0.49122807
9,0.4883041
10,0.48538014
11,0.56725144
12,0.47368422
13,0.28070176
14,0.21637428
15,0.24561402
16,0.2982456
17,0.32163742
18,0.4385965
19,0.50292397
20,0.40935674
21,0.4619883
22,0.43274853
23,0.4385965
24,0.23391813
25,0.3157895
26,0.34502923
27,0.40350878
28,0.23391813
29,0.19883041
30,0.099415205
31,0.19883041
32,0.2631579
33,0.36257312
34,0.46783626
35,0.42105263
36,0.14619884
37,0.07602339
38,0.2982456
39,0.2631579
40,0.4385965
41,0.497076
42,0.4269006
43,0.24561402
44,0.2748538
45,0.25730994
46,0.32748538
47,0.33333334
48,0.33333334
49,0.25730994
50,0.49122807
51,0.18128654
52,0.07602339
53,0.10526316
54,0.19883041
55,0.13450292
56,0.14035088
57,0.122807026
58,0.15789473
59,0.13450292
60,0.14619884
61,0.19298247
62,0.09356725
63,0.16374269
64,0.14619884
65,0.18128654
66,0.33918127
67,0.15204678
68,0.13450292
69,0.081871346
70,0.1754386
71,0.23976609
72,0.34502923
73,0.2982456
74,0.3157895
75,0.18128654
76,0.12865497
77,0.09356725
78,0.12865497
79,0.099415205
80,0.0877193
81,0.25730994
82,0.5438596
83,0.5438596
84,0.2748538
85,0.20760234
86,0.14035088
87,0.18128654
88,0.21052632
89,0.23976609
90,0.1871345
91,0.19883041
92,0.24561402
93,0.15789473
94,0.14619884
95,0.1871345
96,0.15204678
97,0.10526316
98,0.116959065
99,0.12865497
100,0.0877193
101,0.18128654
102,0.15789473
103,0.15204678
104,0.14035088
105,0.10526316
106,0.12865497
107,0.14619884
108,0.1754386
109,0.20467836
110,0.081871346
111,0.064327486
112,0.122807026
113,0.07017544
114,0.046783626
115,0.064327486
116,0.07602339
117,0.05263158
118,0.064327486
119,0.058479533
120,0.10526316
121,0.10526316
122,0.099415205
123,0.15204678
124,0.064327486
125,0.09356725
126,0.064327486
127,0.099415205
128,0.081871346
129,0.19883041
130,0.081871346
131,0.12865497
132,0.10526316
133,0.16959065
134,0.1754386
135,0.14035088
136,0.1754386
137,0.16959065
138,0.14619884
139,0.07017544
140,0.064327486
141,0.064327486
142,0.07017544
143,0.14619884
144,0.046783626
145,0.09356725
146,0.10526316
147,0.10526316
148,0.07602339
149,0.058479533
150,0.029239766
151,0.05263158
152,0.09356725
153,0.040935673
154,0.03508772
155,0.0877193
156,0.05263158
157,0.111111104
158,0.09356725
159,0.046783626
160,0.029239766
161,0.10526316
162,0.0877193
163,0.058479533
164,0.064327486
165,0.03508772
166,0.07017544
167,0.046783626
168,0.058479533
169,0.07602339
170,0.12865497
171,0.14035088
172,0.099415205
173,0.16374269
174,0.081871346
175,0.081871346
176,0.116959065
177,0.15204678
178,0.099415205
179,0.046783626
180,0.05263158
181,0.0877193
182,0.14035088
183,0.03508772
184,0.058479533
185,0.06822612
186,0.07797271
187,0.0877193
188,0.046783626
189,0.040935673
190,0.0877193
191,0.116959065
192,0.13450292
193,0.10526316
194,0.029239766
195,0.07017544
196,0.099415205
197,0.116959065
198,0.09356725
199,0.05263158
200,0.09356725
201,0.0877193
202,0.07602339
203,0.1871345
204,0.19883041
205,0.13450292
206,0.1754386
207,0.1754386
208,0.081871346
209,0.064327486
210,0.0116959065
211,0.03508772
212,0.0877193
213,0.099415205
214,0.14619884
215,0.14035088
216,0.15789473
217,0.12865497
218,0.15789473
219,0.10526316
220,0.099415205
221,0.07602339
222,0.099415205
223,0.116959065
224,0.15789473
225,0.09356725
226,0.14619884
227,0.12865497
228,0.15789473
229,0.064327486
230,0.07017544
231,0.081871346
232,0.16959065
233,0.18128654
234,0.122807026
235,0.07602339
236,0.03508772
237,0.07017544
238,0.040935673
239,0.07602339
240,0.10526316
241,0.14035088
242,0.22807017
243,0.13450292
244,0.0877193
245,0.0877193
246,0.1871345
247,0.2631579
248,0.22807017
249,0.29239765
250,0.20467836
251,0.20467836
252,0.2748538
253,0.29239765
254,0.23391813
255,0.21052632
256,0.15789473
257,0.21052632
258,0.21052632
259,0.13450292
260,0.116959065
261,0.09356725
262,0.040935673
263,0.01754386
264,0.029239766
265,0.099415205
266,0.12865497
267,0.21052632
268,0.1754386
269,0.12865497
270,0.023391813
271,0.023391813
272,0.07602339
273,0.111111104
274,0.122807026
275,0.19298247
276,0.24561402
277,0.18128654
278,0.0
279,0.058479533
280,0.09356725
281,0.14619884
282,0.111111104
283,0.12865497
284,0.12865497
285,0.1871345
286,0.28070176
287,0.3157895
288,0.26900586
289,0.28654972
290,0.38011697
291,0.32748538
292,0.23976609
293,0.13450292
294,0.05263158
295,0.1754386
296,0.18128654
297,0.25730994
298,0.22222222
299,0.14035088
300,0.14619884
301,0.3157895
302,0.35672516
303,0.2982456
304,0.16374269
305,0.2748538
306,0.28070176
307,0.3157895
308,0.34502923
309,0.2982456
310,0.42105263
311,0.39181286
312,0.3859649
313,0.36842105
314,0.2631579
315,0.15789473
316,0.20467836
317,0.22222222
318,0.099415205
319,0.116959065
320,0.19298247
321,0.25730994
322,0.4269006
323,0.4619883
324,0.50292397
325,0.46783626
326,0.4385965
327,0.40935674
328,0.24561402
329,0.18128654
330,0.081871346
331,0.099415205
332,0.10526316
333,0.058479533
334,0.081871346
335,0.14619884
336,0.07602339
337,0.07017544
338,0.16959065
339,0.23976609
340,0.24561402
341,0.25146198
342,0.29239765
343,0.35672516
344,0.2748538
345,0.24561402
346,0.32748538
347,0.3157895
348,0.2631579
349,0.2880117
350,0.3128655
351,0.3377193
352,0.36257312
353,0.040935673
354,0.07602339
355,0.18128654
356,0.2134503
357,0.24561402
358,0.33918127
359,0.32163742
