,0
0,0.25
1,0.24603178
2,0.21031748
3,0.18650796
4,0.16269842
5,0.1468254
6,0.08333334
7,0.15873016
8,0.17063493
9,0.1825397
10,0.19444446
11,0.1825397
12,0.25396827
13,0.32936507
14,0.36904764
15,0.2777778
16,0.15873016
17,0.09126985
18,0.059523813
19,0.12698413
20,0.16269842
21,0.23015875
22,0.30555555
23,0.33333334
24,0.28174603
25,0.234127
26,0.30952382
27,0.15873016
28,0.15079366
29,0.25396827
30,0.37698415
31,0.17857145
32,0.15476191
33,0.09920636
34,0.0039682537
35,0.07936508
36,0.17063493
37,0.19841272
38,0.23015875
39,0.22619049
40,0.09126985
41,0.06349207
42,0.1388889
43,0.16269842
44,0.20634922
45,0.2936508
46,0.25396827
47,0.1388889
48,0.11904763
49,0.15476191
50,0.19841272
51,0.25
52,0.25396827
53,0.21428573
54,0.11111112
55,0.03174603
56,0.06349207
57,0.1468254
58,0.09920636
59,0.10317461
60,0.047619052
61,0.071428575
62,0.0873016
63,0.071428575
64,0.10317461
65,0.05555556
66,0.09920636
67,0.10317461
68,0.14285715
69,0.20238097
70,0.17857145
71,0.0873016
72,0.051587306
73,0.09126985
74,0.13095239
75,0.17063493
76,0.16666667
77,0.16666667
78,0.07539683
79,0.03174603
80,0.051587306
81,0.06746032
82,0.071428575
83,0.26984128
84,0.39285716
85,0.4047619
86,0.15079366
87,0.027777778
88,0.0436508
89,0.07539683
90,0.11111112
91,0.13492064
92,0.07539683
93,0.11507937
94,0.11904763
95,0.07936508
96,0.11111112
97,0.1388889
98,0.1388889
99,0.10317461
100,0.09126985
101,0.06746032
102,0.059523813
103,0.0873016
104,0.11904763
105,0.11111112
106,0.095238104
107,0.06349207
108,0.095238104
109,0.08333334
110,0.07936508
111,0.11507937
112,0.071428575
113,0.071428575
114,0.07936508
115,0.0436508
116,0.051587306
117,0.05555556
118,0.0436508
119,0.06746032
120,0.03571429
121,0.03174603
122,0.051587306
123,0.059523813
124,0.059523813
125,0.07936508
126,0.039682545
127,0.06746032
128,0.027777778
129,0.039682545
130,0.03571429
131,0.08333334
132,0.084126994
133,0.08492064
134,0.085714296
135,0.08650794
136,0.0873016
137,0.06746032
138,0.047619052
139,0.059523813
140,0.0436508
141,0.0436508
142,0.047619052
143,0.011904763
144,0.05555556
145,0.027777778
146,0.047619052
147,0.05555556
148,0.04960318
149,0.0436508
150,0.047619052
151,0.039682545
152,0.01984127
153,0.05555556
154,0.047619052
155,0.03571429
156,0.03571429
157,0.06746032
158,0.05555556
159,0.047619052
160,0.05555556
161,0.0436508
162,0.023809524
163,0.047619052
164,0.0436508
165,0.0436508
166,0.0436508
167,0.03174603
168,0.0039682537
169,0.03571429
170,0.06746032
171,0.06746032
172,0.05555556
173,0.107142866
174,0.095238104
175,0.11111112
176,0.07539683
177,0.068783075
178,0.062169313
179,0.05555556
180,0.057539687
181,0.059523813
182,0.015873017
183,0.07539683
184,0.039682545
185,0.039682545
186,0.06349207
187,0.1388889
188,0.23809524
189,0.01984127
190,0.22619049
191,0.06746032
192,0.21825399
193,0.15476191
194,0.2579365
195,0.0436508
196,0.0436508
197,0.03571429
198,0.06746032
199,0.07936508
200,0.047619052
201,0.03571429
202,0.06746032
203,0.05555556
204,0.03571429
205,0.09126985
206,0.09126985
207,0.11111112
208,0.11507937
209,0.11111112
210,0.0436508
211,0.0436508
212,0.0436508
213,0.039682545
214,0.03174603
215,0.07539683
216,0.08630953
217,0.09722223
218,0.108134925
219,0.11904763
220,0.0873016
221,0.10317461
222,0.095238104
223,0.059523813
224,0.039682545
225,0.07936508
226,0.051587306
227,0.05555556
228,0.071428575
229,0.06349207
230,0.09920636
231,0.047619052
232,0.047619052
233,0.03571429
234,0.071428575
235,0.06349207
236,0.05555556
237,0.06481482
238,0.074074075
239,0.08333334
240,0.039682545
241,0.071428575
242,0.08333334
243,0.15873016
244,0.08333334
245,0.059523813
246,0.05555556
247,0.11111112
248,0.10317461
249,0.09126985
250,0.11507937
251,0.14285715
252,0.12698413
253,0.11507937
254,0.1388889
255,0.14285715
256,0.09126985
257,0.09126985
258,0.17857145
259,0.1388889
260,0.09920636
261,0.059523813
262,0.03571429
263,0.03571429
264,0.027777778
265,0.039682545
266,0.047619052
267,0.07539683
268,0.1468254
269,0.11904763
270,0.07936508
271,0.03571429
272,0.027777778
273,0.027777778
274,0.051587306
275,0.09920636
276,0.10317461
277,0.21825399
278,0.16666667
279,0.071428575
280,0.06746032
281,0.054232806
282,0.04100529
283,0.027777778
284,0.0436508
285,0.05555556
286,0.0846561
287,0.11375661
288,0.14285715
289,0.13492064
290,0.17460318
291,0.24603178
292,0.22222224
293,0.11111112
294,0.047619052
295,0.06944445
296,0.09126985
297,0.11111112
298,0.12500001
299,0.1388889
300,0.095238104
301,0.13492064
302,0.21825399
303,0.20634922
304,0.11904763
305,0.11904763
306,0.1825397
307,0.1388889
308,0.12698413
309,0.15476191
310,0.12698413
311,0.13095239
312,0.22222224
313,0.26587301
314,0.19841272
315,0.16666667
316,0.09920636
317,0.059523813
318,0.107142866
319,0.05555556
320,0.06349207
321,0.095238104
322,0.15079366
323,0.21031748
324,0.22222224
325,0.19444446
326,0.20238097
327,0.25
328,0.16269842
329,0.095238104
330,0.11507937
331,0.07936508
332,0.07539683
333,0.09126985
334,0.05555556
335,0.06349207
336,0.051587306
337,0.023809524
338,0.03571429
339,0.08333334
340,0.15873016
341,0.14285715
342,0.12698413
343,0.09920636
344,0.18650796
345,0.18650796
346,0.1825397
347,0.17857145
348,0.21428573
349,0.21031748
350,0.15873016
351,0.17857145
352,0.23015875
353,0.23015875
354,0.06746032
355,0.03174603
356,0.07936508
357,0.059523813
358,0.11904763
359,0.19444446
360,0.16666667
