,0
0,0.022222223
1,0.07777778
2,0.044444446
3,0.044444446
4,0.13333334
5,0.12222222
6,0.06666667
7,0.17777778
8,0.06666667
9,0.044444446
10,0.044444446
11,0.08888889
12,0.055555556
13,0.055555556
14,0.11111111
15,0.06666667
16,0.044444446
17,0.022222223
18,0.23333333
19,0.06666667
20,0.13333334
21,0.07777778
22,0.11111111
23,0.011111111
24,0.12222222
25,0.044444446
26,0.044444446
27,0.044444446
28,0.07777778
29,0.033333335
30,0.055555556
31,0.044444446
32,0.055555556
33,0.055555556
34,0.17777778
35,0.1
36,0.07777778
37,0.11111111
38,0.06666667
39,0.21111111
40,0.022222223
41,0.12222222
42,0.21111111
43,0.22222222
44,0.15555556
45,0.08888889
46,0.07777778
47,0.055555556
48,0.08888889
49,0.13333334
50,0.044444446
51,0.22222222
52,0.46666667
53,0.56666666
54,0.42222223
55,0.6333333
56,0.54444444
57,0.53333336
58,0.7444445
59,0.25555557
60,0.07777778
61,0.12222222
62,0.26666668
63,0.06666667
64,0.5888889
65,0.5
66,0.18888889
67,0.022222223
68,0.0
69,0.022222223
70,0.033333335
71,0.055555556
72,0.33333334
73,0.25555557
74,0.46666667
75,0.45555556
76,0.15555556
77,0.25555557
78,0.36666667
79,0.15555556
80,0.07777778
81,0.25555557
82,0.08888889
83,0.32222223
84,0.23333333
85,0.31111112
86,0.21111111
87,0.26666668
88,0.22222222
89,0.3
90,0.35555556
91,0.23333333
92,0.23333333
93,0.21111111
94,0.08888889
95,0.07777778
96,0.16666667
97,0.25555557
98,0.33333334
99,0.15555556
100,0.15555556
101,0.15555556
102,0.06666667
103,0.022222223
104,0.044444446
105,0.08888889
106,0.06666667
107,0.17777778
108,0.23333333
109,0.1
110,0.22222222
111,0.23333333
112,0.16666667
113,0.1
114,0.13333334
115,0.1
116,0.08888889
117,0.11111111
118,0.17777778
119,0.12222222
120,0.08888889
121,0.14444445
122,0.08888889
123,0.055555556
124,0.13333334
125,0.08888889
126,0.055555556
127,0.3
128,0.21111111
129,0.35555556
130,0.13333334
131,0.055555556
132,0.033333335
133,0.055555556
134,0.1
135,0.08888889
136,0.11111111
137,0.16666667
138,0.34444445
139,0.3
140,0.11111111
141,0.13333334
142,0.13333334
143,0.13333334
144,0.25555557
145,0.31111112
146,0.43333334
147,0.47777778
148,0.32222223
149,0.3888889
150,0.1
151,0.1
152,0.18888889
153,0.13333334
154,0.12222222
155,0.1
156,0.055555556
157,0.1
158,0.16666667
159,0.07777778
160,0.2
161,0.36666667
162,0.3
163,0.25555557
164,0.07777778
165,0.033333335
166,0.044444446
167,0.2888889
168,0.2888889
169,0.2777778
170,0.2777778
171,0.43333334
172,0.25555557
173,0.18888889
174,0.11111111
175,0.07777778
176,0.033333335
177,0.044444446
178,0.033333335
179,0.022222223
180,0.13333334
181,0.11111111
182,0.044444446
183,0.011111111
184,0.14444445
185,0.022222223
186,0.055555556
187,0.1
188,0.15555556
189,0.14444445
190,0.22222222
191,0.1
192,0.055555556
193,0.06666667
194,0.08888889
195,0.15555556
196,0.12222222
197,0.07777778
198,0.055555556
199,0.1
200,0.022222223
201,0.055555556
202,0.06666667
203,0.011111111
204,0.022222223
205,0.044444446
206,0.06666667
207,0.1
208,0.07777778
209,0.033333335
210,0.12222222
211,0.07777778
212,0.08888889
213,0.044444446
214,0.12222222
215,0.15555556
216,0.06666667
217,0.055555556
218,0.055555556
219,0.06666667
220,0.12222222
221,0.23333333
222,0.055555556
223,0.1
224,0.022222223
225,0.1
226,0.4
227,0.18888889
228,0.11111111
229,0.044444446
230,0.06666667
231,0.1
232,0.1
233,0.22222222
234,0.06666667
235,0.055555556
236,0.044444446
237,0.022222223
238,0.044444446
239,0.1
240,0.12222222
241,0.06666667
242,0.055555556
243,0.12222222
244,0.13333334
245,0.18888889
246,0.14444445
247,0.033333335
248,0.22222222
249,0.033333335
250,0.055555556
251,0.07777778
252,0.07777778
253,0.044444446
254,0.16666667
255,0.5222222
256,0.34444445
257,0.2888889
258,0.044444446
259,0.055555556
260,0.055555556
261,0.07777778
262,0.24444444
263,0.12222222
264,0.1
265,0.13333334
266,0.2
267,0.055555556
268,0.12222222
269,0.23333333
270,0.31111112
271,0.5777778
272,0.44444445
273,0.2777778
274,0.18888889
275,0.42222223
276,0.44444445
277,0.42222223
278,0.16666667
279,0.08888889
280,0.9666667
281,1.0
282,0.3888889
283,0.5222222
284,0.34444445
285,0.11111111
286,0.12222222
287,0.13333334
288,0.12222222
289,0.033333335
290,0.022222223
291,0.011111111
292,0.044444446
293,0.15555556
294,0.3
295,0.18888889
296,0.13333334
297,0.08888889
298,0.44444445
299,0.5888889
300,0.35555556
301,0.25555557
302,0.11111111
303,0.21111111
304,0.42222223
305,0.2777778
306,0.2888889
307,0.1
308,0.12222222
309,0.17777778
310,0.44444445
311,0.17777778
312,0.33333334
313,0.37777779
314,0.21111111
315,0.06666667
316,0.11111111
317,0.055555556
318,0.1
319,0.11111111
320,0.16666667
321,0.2
322,0.11111111
323,0.24444444
324,0.45555556
325,0.36666667
326,0.35555556
327,0.33333334
328,0.31111112
329,0.24444444
330,0.7444445
331,0.51111114
332,0.4888889
333,0.25555557
334,0.08888889
335,0.14444445
336,0.3
337,0.3888889
338,0.47777778
339,0.2888889
340,0.17777778
341,0.14444445
342,0.1
343,0.43333334
344,0.17777778
345,0.26666668
346,0.32222223
347,0.35555556
348,0.3888889
349,0.4
350,0.15555556
351,0.3888889
352,0.42222223
353,0.6
354,0.3888889
355,0.08888889
356,0.21111111
357,0.23333333
358,0.35555556
359,0.13333334
360,0.42222223
361,0.41111112
362,0.2888889
363,0.2888889
364,0.21111111
365,0.23333333
366,0.43333334
367,0.31111112
368,0.22222222
369,0.23333333
370,0.13333334
371,0.1
372,0.26666668
373,0.3
374,0.15555556
375,0.16666667
376,0.13333334
377,0.011111111
378,0.31111112
379,0.2777778
380,0.23333333
381,0.23333333
382,0.21111111
383,0.22222222
384,0.18888889
385,0.14444445
386,0.23333333
387,0.24444444
388,0.25555557
389,0.26666668
390,0.14444445
391,0.022222223
392,0.011111111
393,0.044444446
394,0.06666667
395,0.1
396,0.25555557
397,0.17777778
398,0.14444445
399,0.13333334
400,0.15555556
401,0.21111111
402,0.15555556
403,0.24444444
404,0.16666667
405,0.17777778
406,0.2
407,0.16666667
408,0.08888889
409,0.12222222
410,0.055555556
411,0.033333335
412,0.1
413,0.17777778
414,0.21111111
415,0.14444445
416,0.21111111
417,0.15555556
418,0.18888889
419,0.16666667
420,0.21111111
421,0.11111111
422,0.14444445
423,0.055555556
424,0.14444445
425,0.25555557
426,0.055555556
427,0.022222223
428,0.13333334
429,0.35555556
430,0.2777778
431,0.17777778
432,0.2888889
433,0.32222223
434,0.16666667
435,0.13333334
436,0.11111111
437,0.1
438,0.12222222
439,0.26666668
440,0.1
441,0.16666667
442,0.3
443,0.17777778
444,0.14444445
445,0.18888889
446,0.033333335
447,0.055555556
448,0.08888889
449,0.07777778
450,0.26666668
451,0.15555556
452,0.1
453,0.23333333
454,0.26666668
455,0.18888889
456,0.31111112
457,0.36666667
458,0.08888889
459,0.13333334
460,0.23333333
461,0.14444445
462,0.055555556
463,0.1
464,0.23333333
465,0.33333334
466,0.16666667
467,0.06666667
468,0.12222222
469,0.14444445
470,0.07777778
471,0.12222222
472,0.08888889
473,0.07777778
474,0.16666667
475,0.13333334
