,0
0,0.1419753
1,0.308642
2,0.22839506
3,0.4814815
4,0.37654322
5,0.3703704
6,0.15432099
7,0.17901234
8,0.13580246
9,0.14814815
10,0.17901234
11,0.20987654
12,0.24074073
13,0.21604939
14,0.10493827
15,0.25308645
16,0.19135801
17,0.10493827
18,0.15432099
19,0.17901234
20,0.117283955
21,0.06172839
22,0.12345679
23,0.16049382
24,0.10493827
25,0.2037037
26,0.12962963
27,0.0925926
28,0.19135801
29,0.2345679
30,0.20987654
31,0.3271605
32,0.2962963
33,0.21604939
34,0.19135801
35,0.06172839
36,0.20987654
37,0.043209877
38,0.074074075
39,0.19753087
40,0.22839506
41,0.2777778
42,0.18518518
43,0.17283951
44,0.15432099
45,0.22222222
46,0.24074073
47,0.22839506
48,0.26543212
49,0.24074073
50,0.21604939
51,0.34567901
52,0.37654322
53,0.44444445
54,0.58641976
55,0.46296299
56,0.31481484
57,0.40740743
58,0.44444445
59,0.34567901
60,0.4197531
61,0.35802472
62,0.08024691
63,0.055555556
64,0.0925926
65,0.09876543
66,0.1419753
67,0.2345679
68,0.27160496
69,0.27160496
70,0.1419753
71,0.2345679
72,0.32098767
73,0.2037037
74,0.20987654
75,0.24691357
76,0.2777778
77,0.29012346
78,0.16049382
79,0.12962963
80,0.117283955
81,0.2037037
82,0.08641975
83,0.06172839
84,0.20987654
85,0.17283951
86,0.09876543
87,0.17283951
88,0.0925926
89,0.16666667
90,0.16666667
91,0.16666667
92,0.13580246
93,0.18518518
94,0.117283955
95,0.1419753
96,0.14814815
97,0.117283955
98,0.09876543
99,0.08024691
100,0.12962963
101,0.09876543
102,0.117283955
103,0.13580246
104,0.14814815
105,0.1419753
106,0.08641975
107,0.04938272
108,0.08641975
109,0.037037037
110,0.06790124
111,0.20987654
112,0.19753087
113,0.13580246
114,0.19135801
115,0.13580246
116,0.19753087
117,0.111111104
118,0.15432099
119,0.12962963
120,0.15432099
121,0.24074073
122,0.16049382
123,0.15432099
124,0.2345679
125,0.28395063
126,0.24074073
127,0.16666667
128,0.28395063
129,0.06790124
130,0.08024691
131,0.111111104
132,0.19753087
133,0.117283955
134,0.17283951
135,0.17283951
136,0.15432099
137,0.2037037
138,0.1419753
139,0.25925928
140,0.13580246
141,0.074074075
142,0.13580246
143,0.10493827
144,0.13580246
145,0.12962963
146,0.1419753
147,0.13580246
148,0.10493827
149,0.08024691
150,0.08641975
151,0.09876543
152,0.08024691
153,0.08024691
154,0.111111104
155,0.0925926
156,0.08024691
157,0.10493827
158,0.08024691
159,0.1419753
160,0.06790124
161,0.111111104
162,0.12345679
163,0.1419753
164,0.20987654
165,0.15432099
166,0.117283955
167,0.055555556
168,0.037037037
169,0.024691358
170,0.043209877
171,0.09876543
172,0.06790124
173,0.06790124
174,0.074074075
175,0.074074075
176,0.10493827
177,0.0925926
178,0.0925926
179,0.17283951
180,0.21604939
181,0.117283955
182,0.117283955
183,0.12345679
184,0.111111104
185,0.030864198
186,0.055555556
187,0.06172839
188,0.16666667
189,0.17901234
190,0.15432099
191,0.35185188
192,0.111111104
193,0.13580246
194,0.12345679
195,0.18518518
196,0.20987654
197,0.12345679
198,0.19753087
199,0.24074073
200,0.33950618
201,0.30246913
202,0.19135801
203,0.33333334
204,0.24691357
205,0.1419753
206,0.21604939
207,0.24691357
208,0.24691357
209,0.21604939
210,0.2777778
211,0.308642
212,0.24691357
213,0.12962963
214,0.21604939
215,0.26543212
216,0.29012346
217,0.36419755
218,0.36419755
219,0.29012346
220,0.09876543
221,0.055555556
222,0.16049382
223,0.17283951
224,0.12345679
225,0.19135801
226,0.32098767
227,0.50617284
228,0.50617284
229,0.75308645
230,0.5123457
231,0.44444445
232,0.29012346
233,0.12345679
234,0.09876543
235,0.17901234
236,0.21604939
237,0.12962963
238,0.12345679
239,0.14814815
240,0.13580246
241,0.06790124
242,0.17283951
243,0.12962963
244,0.012345679
245,0.04938272
246,0.0925926
247,0.17283951
248,0.19135801
249,0.24691357
250,0.2962963
251,0.40740743
252,0.3888889
253,0.30246913
254,0.09876543
255,0.10493827
256,0.09876543
257,0.1419753
258,0.043209877
259,0.18518518
260,0.0925926
261,0.17901234
262,0.34567901
263,0.3703704
264,0.38271606
265,0.45679015
266,0.21604939
267,0.1419753
268,0.2037037
269,0.19135801
270,0.18518518
271,0.17901234
272,0.19753087
273,0.117283955
274,0.17283951
275,0.21604939
276,0.34567901
277,0.47530866
278,0.21604939
279,0.24691357
280,0.39506173
281,0.50617284
282,0.44444445
283,0.33333334
284,0.34567901
285,0.20987654
286,0.4197531
287,0.5123457
288,0.43209878
289,0.117283955
290,0.19753087
291,0.24691357
292,0.32098767
293,0.27160496
294,0.16666667
295,0.25308645
296,0.25925928
297,0.33333334
298,0.308642
299,0.17283951
300,0.19135801
301,0.2345679
302,0.2962963
303,0.2777778
304,0.13580246
305,0.04938272
306,0.074074075
307,0.16666667
308,0.25925928
309,0.48765433
310,0.44444445
311,0.35185188
312,0.2962963
313,0.17901234
314,0.15432099
315,0.2345679
316,0.2037037
317,0.27160496
318,0.29012346
319,0.12345679
320,0.15432099
321,0.19135801
322,0.22222222
323,0.33333334
324,0.39506173
325,0.24074073
326,0.19135801
327,0.06790124
328,0.04938272
329,0.13580246
330,0.18518518
331,0.14814815
332,0.39506173
333,0.4506173
334,0.25308645
335,0.25925928
336,0.21604939
337,0.25308645
338,0.2037037
339,0.2345679
340,0.29012346
341,0.31481484
342,0.28395063
343,0.22839506
344,0.2037037
345,0.29012346
346,0.33950618
347,0.15432099
348,0.117283955
349,0.12962963
350,0.06790124
351,0.111111104
352,0.16049382
353,0.22222222
354,0.09876543
355,0.117283955
356,0.111111104
357,0.09876543
358,0.043209877
359,0.2037037
360,0.2345679
361,0.27160496
362,0.12962963
363,0.21604939
364,0.08641975
365,0.19753087
366,0.28395063
367,0.31481484
368,0.24074073
369,0.21604939
370,0.2345679
371,0.2777778
372,0.13580246
373,0.13580246
374,0.12345679
375,0.15432099
376,0.15432099
377,0.16666667
378,0.33950618
379,0.30246913
380,0.17901234
381,0.15432099
382,0.08024691
383,0.08641975
384,0.09876543
385,0.1419753
386,0.2037037
387,0.12345679
388,0.19135801
389,0.19753087
390,0.17901234
391,0.17901234
392,0.17901234
393,0.06790124
394,0.08024691
395,0.055555556
396,0.074074075
397,0.1419753
398,0.0925926
399,0.06172839
400,0.16049382
401,0.117283955
402,0.19753087
403,0.16049382
404,0.17283951
405,0.17901234
406,0.25308645
407,0.25925928
408,0.2037037
409,0.19753087
410,0.15432099
411,0.2037037
412,0.19135801
413,0.17901234
414,0.25925928
415,0.33950618
416,0.21604939
417,0.20987654
418,0.17283951
419,0.10493827
420,0.10493827
421,0.13580246
422,0.14814815
423,0.043209877
424,0.06790124
425,0.15432099
426,0.074074075
427,0.16666667
428,0.15432099
429,0.12962963
430,0.24691357
431,0.34567901
432,0.3271605
433,0.13580246
434,0.20987654
435,0.1419753
436,0.22839506
437,0.09876543
438,0.13580246
439,0.13580246
440,0.14814815
441,0.16666667
442,0.13580246
443,0.1419753
444,0.24691357
445,0.14814815
446,0.18518518
447,0.18518518
448,0.21604939
449,0.22839506
450,0.22839506
451,0.17901234
452,0.13580246
453,0.06172839
454,0.12345679
455,0.25308645
456,0.24691357
457,0.29012346
458,0.32098767
459,0.16666667
460,0.06172839
461,0.06172839
462,0.09876543
463,0.024691358
464,0.08641975
465,0.13580246
466,0.20987654
467,0.14814815
468,0.10493827
469,0.19135801
470,0.2037037
471,0.2037037
472,0.2345679
473,0.20987654
474,0.19135801
475,0.19753087
476,0.117283955
477,0.111111104
478,0.111111104
479,0.024691358
480,0.04938272
481,0.09876543
482,0.14814815
483,0.21604939
484,0.1419753
485,0.15432099
486,0.2037037
487,0.18518518
488,0.21604939
489,0.1419753
490,0.08641975
491,0.08641975
492,0.117283955
493,0.074074075
494,0.111111104
495,0.18518518
496,0.24074073
497,0.08641975
498,0.09876543
499,0.09876543
500,0.0925926
501,0.08641975
502,0.08641975
503,0.117283955
504,0.09876543
505,0.16666667
506,0.14814815
507,0.24691357
508,0.08641975
509,0.08641975
510,0.0925926
511,0.09876543
512,0.0925926
513,0.055555556
514,0.043209877
515,0.055555556
516,0.12962963
517,0.14814815
518,0.17283951
519,0.06790124
520,0.10493827
521,0.12962963
522,0.17901234
523,0.35802472
524,0.36419755
525,0.2777778
526,0.37654322
527,0.308642
528,0.0925926
529,0.16666667
530,0.16049382
531,0.13580246
532,0.20987654
533,0.3888889
534,0.40740743
535,0.41358027
536,0.31481484
537,0.25308645
