,var1(t-5),var2(t-5),var3(t-5),var4(t-5),var5(t-5),var6(t-5),var7(t-5),var1(t-4),var2(t-4),var3(t-4),var4(t-4),var5(t-4),var6(t-4),var7(t-4),var1(t-3),var2(t-3),var3(t-3),var4(t-3),var5(t-3),var6(t-3),var7(t-3),var1(t-2),var2(t-2),var3(t-2),var4(t-2),var5(t-2),var6(t-2),var7(t-2),var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var1(t),var2(t),var3(t),var4(t),var5(t),var6(t),var7(t)
0,0.21825399,0.049465857,0.37398374,0.08561421,0.33333334,0.5162819,0.0,0.21825399,0.045750115,0.3495935,0.23994415,0.6666666,0.511824,0.0036764704,0.17460318,0.034602877,0.3089431,0.14619929,0.6666666,0.5430291,0.0,0.071428575,0.04814987,0.113821134,0.09167287,0.6666666,0.625438,0.0,0.13095239,0.061696857,0.24390243,0.06650004,0.6666666,0.5963102,0.0036764704,0.0,0.075243846,0.4634146,0.015433886,1.0,0.5717863,0.0
1,0.21825399,0.045750115,0.3495935,0.23994415,0.6666666,0.511824,0.0036764704,0.17460318,0.034602877,0.3089431,0.14619929,0.6666666,0.5430291,0.0,0.071428575,0.04814987,0.113821134,0.09167287,0.6666666,0.625438,0.0,0.13095239,0.061696857,0.24390243,0.06650004,0.6666666,0.5963102,0.0036764704,0.2579365,0.075243846,0.4634146,0.015433886,1.0,0.5717863,0.0,0.0,0.07194612,0.5447154,0.10745747,0.6666666,0.60674185,0.0
2,0.17460318,0.034602877,0.3089431,0.14619929,0.6666666,0.5430291,0.0,0.071428575,0.04814987,0.113821134,0.09167287,0.6666666,0.625438,0.0,0.13095239,0.061696857,0.24390243,0.06650004,0.6666666,0.5963102,0.0036764704,0.2579365,0.075243846,0.4634146,0.015433886,1.0,0.5717863,0.0,0.28174603,0.07194612,0.5447154,0.10745747,0.6666666,0.60674185,0.0,0.0,0.0686484,0.58536583,0.084935635,0.0,0.61064947,0.0036764704
3,0.071428575,0.04814987,0.113821134,0.09167287,0.6666666,0.625438,0.0,0.13095239,0.061696857,0.24390243,0.06650004,0.6666666,0.5963102,0.0036764704,0.2579365,0.075243846,0.4634146,0.015433886,1.0,0.5717863,0.0,0.28174603,0.07194612,0.5447154,0.10745747,0.6666666,0.60674185,0.0,0.32936507,0.0686484,0.58536583,0.084935635,0.0,0.61064947,0.0036764704,0.0,0.06535067,0.2601626,0.08880199,0.6666666,0.56211823,0.0
4,0.13095239,0.061696857,0.24390243,0.06650004,0.6666666,0.5963102,0.0036764704,0.2579365,0.075243846,0.4634146,0.015433886,1.0,0.5717863,0.0,0.28174603,0.07194612,0.5447154,0.10745747,0.6666666,0.60674185,0.0,0.32936507,0.0686484,0.58536583,0.084935635,0.0,0.61064947,0.0036764704,0.22222224,0.06535067,0.2601626,0.08880199,0.6666666,0.56211823,0.0,0.0,0.062052947,0.2113821,0.17651188,0.6666666,0.57334715,0.0036764704
5,0.2579365,0.075243846,0.4634146,0.015433886,1.0,0.5717863,0.0,0.28174603,0.07194612,0.5447154,0.10745747,0.6666666,0.60674185,0.0,0.32936507,0.0686484,0.58536583,0.084935635,0.0,0.61064947,0.0036764704,0.22222224,0.06535067,0.2601626,0.08880199,0.6666666,0.56211823,0.0,0.16269842,0.062052947,0.2113821,0.17651188,0.6666666,0.57334715,0.0036764704,0.0,0.058755223,0.1300813,0.13644965,0.6666666,0.5990725,0.0036764704
6,0.28174603,0.07194612,0.5447154,0.10745747,0.6666666,0.60674185,0.0,0.32936507,0.0686484,0.58536583,0.084935635,0.0,0.61064947,0.0036764704,0.22222224,0.06535067,0.2601626,0.08880199,0.6666666,0.56211823,0.0,0.16269842,0.062052947,0.2113821,0.17651188,0.6666666,0.57334715,0.0036764704,0.08333334,0.058755223,0.1300813,0.13644965,0.6666666,0.5990725,0.0036764704,0.0,0.06177427,0.23577234,0.04642385,0.33333334,0.5407272,0.0
7,0.32936507,0.0686484,0.58536583,0.084935635,0.0,0.61064947,0.0036764704,0.22222224,0.06535067,0.2601626,0.08880199,0.6666666,0.56211823,0.0,0.16269842,0.062052947,0.2113821,0.17651188,0.6666666,0.57334715,0.0036764704,0.08333334,0.058755223,0.1300813,0.13644965,0.6666666,0.5990725,0.0036764704,0.15476191,0.06177427,0.23577234,0.04642385,0.33333334,0.5407272,0.0,0.0,0.061232388,0.32520324,0.12283271,1.0,0.4941273,0.0
8,0.22222224,0.06535067,0.2601626,0.08880199,0.6666666,0.56211823,0.0,0.16269842,0.062052947,0.2113821,0.17651188,0.6666666,0.57334715,0.0036764704,0.08333334,0.058755223,0.1300813,0.13644965,0.6666666,0.5990725,0.0036764704,0.15476191,0.06177427,0.23577234,0.04642385,0.33333334,0.5407272,0.0,0.18650796,0.061232388,0.32520324,0.12283271,1.0,0.4941273,0.0,0.0,0.060690507,0.53658533,0.03975687,0.6666666,0.5154285,0.0
9,0.16269842,0.062052947,0.2113821,0.17651188,0.6666666,0.57334715,0.0036764704,0.08333334,0.058755223,0.1300813,0.13644965,0.6666666,0.5990725,0.0036764704,0.15476191,0.06177427,0.23577234,0.04642385,0.33333334,0.5407272,0.0,0.18650796,0.061232388,0.32520324,0.12283271,1.0,0.4941273,0.0,0.2936508,0.060690507,0.53658533,0.03975687,0.6666666,0.5154285,0.0,0.0,0.060148627,0.31300813,0.19716018,1.0,0.56028795,0.0036764704
