,0
0,0.044444446
1,0.033333335
2,0.13333334
3,0.18888889
4,0.033333335
5,0.044444446
6,0.055555556
7,0.044444446
8,0.022222223
9,0.033333335
10,0.06666667
11,0.13333334
12,0.06666667
13,0.14444445
14,0.2777778
15,0.21111111
16,0.13333334
17,0.21111111
18,0.25555557
19,0.18888889
20,0.07777778
21,0.044444446
22,0.13333334
23,0.044444446
24,0.055555556
25,0.13333334
26,0.2
27,0.13333334
28,0.06666667
29,0.033333335
30,0.07777778
31,0.07777778
32,0.044444446
33,0.044444446
34,0.1
35,0.16666667
36,0.08888889
37,0.033333335
38,0.033333335
39,0.13333334
40,0.06666667
41,0.12222222
42,0.18888889
43,0.1
44,0.2
45,0.44444445
46,0.56666666
47,0.46666667
48,0.07777778
49,0.32222223
50,0.33333334
51,0.21111111
52,0.08888889
53,0.06666667
54,0.15555556
55,0.07777778
56,0.08888889
57,0.1
58,0.13333334
59,0.044444446
60,0.14444445
61,0.22222222
62,0.2888889
63,0.31111112
64,0.14444445
65,0.044444446
66,0.055555556
67,0.06666667
68,0.055555556
69,0.055555556
70,0.044444446
71,0.17777778
72,0.033333335
73,0.11111111
74,0.2
75,0.2777778
76,0.21111111
77,0.08888889
78,0.1
79,0.17777778
80,0.22222222
81,0.14444445
82,0.1
83,0.055555556
84,0.07777778
85,0.055555556
86,0.11111111
87,0.24444444
88,0.022222223
89,0.08888889
90,0.25555557
91,0.16666667
92,0.35555556
93,0.25555557
94,0.2
95,0.22222222
96,0.15555556
97,0.2
98,0.11111111
99,0.15555556
100,0.011111111
101,0.11111111
102,0.044444446
103,0.16666667
104,0.17777778
105,0.044444446
106,0.06666667
107,0.022222223
108,0.044444446
109,0.16666667
110,0.14444445
111,0.07777778
112,0.21111111
113,0.22222222
114,0.033333335
115,0.11111111
116,0.17777778
117,0.2
118,0.24444444
119,0.3
120,0.44444445
121,0.24444444
122,0.2777778
123,0.23333333
124,0.2888889
125,0.34444445
126,0.43333334
127,0.34444445
128,0.12222222
129,0.15555556
130,0.31111112
131,0.15555556
132,0.17777778
133,0.26666668
134,0.2888889
135,0.2777778
136,0.31111112
137,0.14444445
138,0.06666667
139,0.2
140,0.47777778
141,0.41111112
142,0.54444444
143,0.46666667
144,0.44444445
145,0.2888889
146,0.15555556
147,0.22222222
148,0.14444445
149,0.17777778
150,0.23333333
151,0.14444445
152,0.11111111
153,0.18888889
154,0.2
155,0.22222222
156,0.24444444
157,0.1
158,0.11111111
159,0.07777778
160,0.12222222
161,0.15555556
162,0.31111112
163,0.25555557
164,0.35555556
165,0.47777778
166,0.53333336
167,0.46666667
168,0.23333333
169,0.12222222
170,0.14444445
171,0.2
172,0.11111111
173,0.1
174,0.11111111
175,0.22222222
176,0.2777778
177,0.06666667
178,0.06666667
179,0.16666667
180,0.2777778
181,0.3
182,0.18888889
183,0.11111111
184,0.055555556
185,0.11111111
186,0.08888889
187,0.18888889
188,0.2
189,0.25555557
190,0.14444445
191,0.14444445
192,0.06666667
193,0.1
194,0.12222222
195,0.13333334
196,0.17777778
197,0.3
198,0.25555557
199,0.18888889
200,0.17777778
201,0.12222222
202,0.14444445
203,0.08888889
204,0.12222222
205,0.18888889
206,0.18888889
207,0.044444446
208,0.044444446
209,0.044444446
210,0.055555556
211,0.13333334
212,0.15555556
213,0.23333333
214,0.45555556
215,0.44444445
216,0.5222222
217,0.37777779
218,0.11111111
219,0.21111111
220,0.21111111
221,0.15555556
222,0.022222223
223,0.022222223
224,0.13333334
225,0.33333334
226,0.46666667
227,0.25555557
228,0.2
229,0.17777778
230,0.3
231,0.033333335
232,0.1
233,0.16666667
234,0.31111112
235,0.055555556
236,0.24444444
237,0.11111111
238,0.022222223
239,0.17777778
240,0.2
241,0.18888889
242,0.2
243,0.13333334
244,0.055555556
245,0.24444444
246,0.055555556
247,0.11111111
248,0.11111111
249,0.23333333
250,0.12222222
251,0.055555556
252,0.1
253,0.06666667
254,0.26666668
255,0.18888889
256,0.14444445
257,0.044444446
258,0.11111111
259,0.07777778
260,0.033333335
261,0.044444446
262,0.0
263,0.033333335
264,0.044444446
265,0.011111111
266,0.055555556
267,0.055555556
268,0.06666667
269,0.0
270,0.022222223
271,0.055555556
272,0.022222223
273,0.022222223
274,0.022222223
275,0.044444446
276,0.022222223
277,0.033333335
278,0.044444446
279,0.033333335
280,0.022222223
281,0.0
282,0.033333335
283,0.055555556
284,0.011111111
285,0.022222223
286,0.06666667
287,0.08888889
288,0.1
289,0.16666667
290,0.07777778
291,0.055555556
292,0.055555556
293,0.022222223
294,0.08888889
295,0.1
296,0.044444446
297,0.033333335
298,0.11111111
299,0.033333335
300,0.07777778
301,0.055555556
302,0.055555556
303,0.044444446
304,0.033333335
305,0.044444446
306,0.1
307,0.06666667
308,0.07777778
309,0.044444446
310,0.044444446
311,0.08888889
312,0.044444446
313,0.011111111
